;feature;shap_value
860;TP53;0.09874880168008174
269;KMT2D;0.07020138394319411
314;KRAS;0.06616076599193853
1338;PIK3CA;0.044423482621197205
903;TERT;0.04088370788783003
1238;BAP1;0.037864351269061465
1036;NF1;0.03296445691292821
287;SETD2;0.025428729091756738
136;ROS1;0.016020849883786104
1464;TSC2;0.015815231399982102
1378;ARID1B;0.015394102563146501
1080;FAT1;0.014246553911231703
1282;KEAP1;0.013638783273540369
255;MGA;0.013142661928342462
752;SMARCB1;0.012899808793638624
851;ATM;0.011017577855864116
1028;SMARCA4;0.010777656860731519
36;MSH2;0.009734935707164629
556;DOCK8;0.008434832789666953
1125;FGFR4;0.00779497305868571
439;BCORL1;0.007529021006677029
1466;NOTCH2;0.007317070512816906
233;POLE;0.007123532264095997
916;RECQL4;0.0068395249695539775
1231;BRCA2;0.006699744894582015
1307;NRG1;0.006692241121293271
678;AXL;0.006568306217838385
979;ZFHX3;0.00606655509533036
181;RB1;0.005703115090055712
148;SUFU;0.005367723999075948
172;ERBB4;0.005225678874050983
883;MTOR;0.0051639733139386525
620;MAP3K1;0.005072158143980303
55;SPTA1;0.004991816401916186
553;PIK3C2B;0.00493691097208704
426;DOT1L;0.004897202208573959
25;PRKDC;0.004875131012105955
123;EIF1AX;0.004844205156573141
1156;LATS2;0.004645900888948694
865;PBRM1;0.004519516156164978
660;SPEN;0.004506281011021095
333;RPTOR;0.00442110559730623
609;ARAF;0.004348485521868065
642;RUNX1;0.00425632119608859
896;PTEN;0.0040111611526283675
368;IRS2;0.003989653764198546
475;PMS1;0.003894928512021793
1259;KMT2A;0.003592761440442284
1463;ATR;0.0035901927266130083
774;BRAF;0.003570164657689607
611;EP300;0.003431908211705461
1604;ERCC5;0.0032259223459756197
295;ERCC2;0.0031863328298811495
820;EPHA3;0.0031117434591900477
763;ARID2;0.0029803373863128728
748;GATA3;0.0028968198067808584
602;DNMT3A;0.002768160653458529
1543;GNAS-AS1;0.0027316034682429713
210;PTPRD;0.002667289060199675
1276;BCL6;0.0026206200338132805
1373;FANCE;0.0025911743640094193
1523;FUS;0.0025878375827848936
286;SETBP1;0.002496490075908544
1194;CDKN1A;0.0024299804311303267
360;TP53BP1;0.002392050309217121
1081;CDK12;0.0023637230883382272
79;XPC;0.0023528314145537022
629;SPRED1;0.002335834899651291
959;SLX4;0.0023265943515783376
968;CDKN2A;0.002317782271547804
1580;SMARCA2;0.0023059219769129614
1178;U2AF1;0.002304618580129198
885;POLQ;0.002238184393179113
249;ZNF217;0.002226762649212003
122;FANCC;0.0022100598757573303
856;CDK6;0.0021795278635933163
1509;APC;0.0021419803328495608
1513;DEPDC5;0.0021388517957983506
1124;RHPN2;0.0020553691889401864
560;MT-ND5;0.002007977260597831
256;NOTCH1;0.0019590748124984716
509;INPP4B;0.0019487887618179155
840;TET2;0.0019379105845805532
1352;HGF;0.0019155761419803938
436;ZFHX4;0.0018754353089135516
1193;NCOR1;0.0018560563916733993
670;ERCC3;0.0018523807272539012
1405;GPS2;0.0018095170045730512
781;PRKCI;0.0017880003665775804
93;NOTCH3;0.0017700256396805103
194;CBL;0.0017623979823082568
661;RAD51C;0.0017269826536948942
446;PTCH1;0.001697703432415888
801;PDGFRB;0.0016807624123797954
958;FBXW7;0.0016723543200025492
1285;IGF1R;0.0016669795984944702
1093;NBN;0.0016407206653500231
925;EZH2;0.0016401183803784842
1454;SOS1;0.0016345918051452377
7;IGF2R;0.0015554313433882745
671;CTNNA1;0.001514563364160895
188;NUP93;0.0015094492212605678
766;MAFB;0.0014912091876049436
523;FOXA1;0.0014904642054060012
988;PDCD1;0.001454073271713307
1627;KDR;0.001442898086620057
1332;PALB2;0.0014406238080637496
1000;MPL;0.0014350514091343847
77;CDKN2C;0.001402759431554373
663;SDHB;0.0013999099214871487
511;AURKB;0.001355869046609671
649;EGFR;0.0013554969465681729
1136;RHBDF2;0.0013514909698386435
5;NCOA3;0.0013073565954897306
942;ARID1A;0.001286868250107299
1429;JAK2;0.0012800872540960234
924;PTPN11;0.0012694596225029124
1544;MSH6;0.001246852790173048
1273;MAX;0.0012377922976258653
1404;NSD1;0.0012126838183342229
274;MET;0.0011807712775061773
962;PAK1;0.001168544460795739
939;RANBP2;0.0011400256934541383
100;ZFPM1;0.0011310060598099512
471;KMT2B;0.001129932926074175
590;TFEB;0.0011001326535188716
1154;RHOT1;0.0010856751935750786
1396;FLT3;0.0010696061118363035
47;AXIN1;0.0010455378701356534
124;SLIT2;0.0010274127959144224
1612;JAK1;0.0010226056083048791
1132;MLH3;0.001012275512578942
241;MYCN;0.0010023081668710132
1248;CNOT3;0.0009415040466117847
1427;RHEB;0.0009297177955034971
1574;MAP2K1;0.0009092059566135816
9;ATP8B1;0.0009078862196582107
570;PRSS1;0.0009004040191839696
1506;LAMP1;0.0008971655344400424
240;REL;0.000884253082432147
1213;WRN;0.0008797080883876772
1116;BRIP1;0.0008728003752570147
332;BCL2L12;0.0008688399902642539
499;PAX7;0.0008633288897636289
1445;PPP4R2;0.0008620043024036171
613;NEIL2;0.0008474828791430279
67;RNF8;0.0008421515257873142
630;GNA14;0.000834603613113704
1313;MSH3;0.0008331120204478553
18;RAD21;0.0008297807373900397
1215;NRAS;0.0008230791996382015
1621;ARID5B;0.0008146554921871841
1217;KIF1B;0.0008043413770279617
1577;EPHA7;0.0008020145812362314
935;PTPRK;0.0007972992145360883
95;PVRL4;0.0007935101896119883
119;GSK3B;0.0007821092496174618
1068;PLK2;0.0007802498132670622
489;DNAJB1;0.0007740358006883055
184;JAK3;0.0007695315429848774
62;INPP4A;0.0007685847536145477
1155;RAC1;0.0007655854699763974
636;TRBC2;0.0007620814827097173
1280;QKI;0.0007616772314295905
872;SMARCAL1;0.0007530516900189566
1563;CIITA;0.0007444041006554622
242;TSHZ3;0.0007426980823203348
1014;CCND1;0.000742300358006656
951;AMER1;0.0007409305325932782
250;TOP2A;0.0007287562937844418
945;BCL2L1;0.0007098232816815043
1620;MDM4;0.0007073757586188762
405;EPAS1;0.0007071033706406508
1088;MAP3K9;0.0006978759949966851
520;SF1;0.000687476406304973
750;FLT4;0.0006756976665832445
938;PIK3CD;0.0006697636774690008
1221;SF3B1;0.0006684828567490988
87;GBA;0.0006633706234733432
846;ETV5;0.0006605663383476293
1324;MLH1;0.000653152134514072
44;RAD50;0.0006490076608304446
252;GALNT12;0.0006436565753645703
84;CIC;0.0006320230583374795
1283;KAT6B;0.0006039025173764378
1511;CREBBP;0.0006034293352709775
1268;EML4;0.0005999093894397901
58;MT-ND6;0.0005927991357100255
1137;SMC1A;0.000587105940472579
907;CHEK1;0.0005784777935104302
1249;BCOR;0.0005757651460680773
389;PRAME;0.000570571575482631
1082;HLA-C;0.0005694148933934527
917;RICTOR;0.0005685217924801741
1375;CHD2;0.0005640441295609683
468;FAM46C;0.0005599321066757215
1245;MITF;0.0005445088012385205
932;FH;0.0005441975371093199
1220;SERPINA1;0.0005300770085286487
777;PIK3C2G;0.0005250497462631786
402;XPO1;0.0005152034846088102
946;TTYH1;0.0005131718432162352
381;GEN1;0.0005026008741897526
467;SYK;0.0005008490694433773
166;SH2B3;0.0004990118196895836
337;VTCN1;0.0004966432125000753
975;GNB2L1;0.0004956762553430143
624;RNF43;0.0004940919850914617
108;PTPRS;0.0004924267049334067
881;PRKD1;0.0004897680116714989
1011;HERC2;0.0004890481888153703
1561;CARD11;0.00048493107087216027
782;NEGR1;0.0004829310107291538
1247;PNRC1;0.0004719409692879408
842;MAP3K5;0.00046895264298277436
745;RIF1;0.0004686654165706338
1374;PARP1;0.00046369496650520905
445;GATA4;0.00045828914189479785
576;NTRK2;0.00045745973025753035
915;HIST1H3E;0.0004573959343282312
989;PTK2;0.00045688767952790747
1076;STAT4;0.0004521248691741989
936;OR5L1;0.00045008427527454964
344;SOX2;0.00044841417524563474
498;BBC3;0.00044786138956724015
627;CCND2;0.0004452714223620894
1478;SLC34A2;0.0004430403725864275
849;DICER1;0.0004402555620748036
931;GNA11;0.00043729921254686855
911;BCL10;0.00043631646792291836
1023;MAPK1;0.00043495357099781497
116;CTCF;0.0004310722631894071
224;PREX2;0.0004289446417277706
1449;GLI1;0.00042738170976840286
923;SRC;0.0004247515870267225
1428;MAPKAP1;0.00042332015739669147
1589;KIT;0.0004231700160570912
1401;FGF3;0.00042045209993837694
845;CDKN1B;0.0004198231538094511
1114;PTPRO;0.0004191419167131318
382;RASA1;0.00041549204800652963
226;NUP214;0.0004128010081209115
455;MYH11;0.0004081481444648959
880;BARD1;0.0004064235018525339
1532;XPA;0.0004052641966406234
1392;STK11;0.00040149658660517074
313;MTA1;0.0003995312196699921
349;EPHB4;0.0003984034410111714
1172;PMS2;0.00039763256289503346
1562;RRAS;0.00039739042342065934
882;ASPSCR1;0.00039487241337597234
161;LATS1;0.0003941315550947367
949;KMT2C;0.0003927945379432985
377;TCF7L1;0.0003906864828598083
1376;CDH1;0.00038679838269023035
964;IL7R;0.0003858640113962682
806;CTNNB1;0.0003788529894083026
1587;ZNF521;0.00037617988369640607
735;ESR1;0.00037575810304053836
961;NLRP1;0.0003733252547806071
315;MYB;0.0003692996365443085
338;TRAF7;0.0003649227456770858
622;DDR2;0.00036353137501486194
1609;WNK2;0.0003620854550273634
413;CYSLTR2;0.00035999261061658513
1342;MYD88;0.0003588823945579082
1455;FANCI;0.0003586936844763929
972;RAD51D;0.00035536104650321025
502;KDM6B;0.0003533755750947288
1176;EZH1;0.00035295599002729345
616;PGBD5;0.0003526600701266977
898;NFKBIA;0.0003517582946812496
805;MEN1;0.00034791170832867676
997;SDHD;0.0003473125085743567
738;CDKN2B-AS1;0.0003429304235477879
390;IDH1;0.00034249751668329954
438;KCNIP1;0.00034159830040130564
462;PTPRB;0.00033977219237303776
1;TGFBR2;0.00033473730404695975
388;FAT3;0.00033389921698204444
236;GSTM5;0.0003301420327051321
1223;DDB1;0.0003301186987690478
1165;PRF1;0.00032921078643495874
1451;ERCC4;0.00032648352449556257
308;TOP1;0.00032569869951717473
239;SETDB1;0.0003232449077502527
1244;MIR4457;0.0003209710956387233
457;ERBB2;0.0003184791543670814
506;ID4;0.0003140660030098547
