Topic;Count;Name
-1;78;-1_protein_entry_human_gene
0;23;0_expression_detected_analysis_amino
1;18;1_rad_protein_amino_human
2;15;2_ets_gli_transcription_box
3;14;3_repair_dna_replication_ercc
4;13;4_methylation_histone_patterns_cytosine
5;13;5_pi_pik_phosphatidylinositol_inositol
6;12;6_beta_growth_igf_receptor
7;12;7_cdkn_cdk_cycle_kinase
8;11;8_ubiquitin_kappa_ligase_nfkb
9;11;9_collagen_cell_vii_membrane
10;9;10_hormone_receptor_retinoic_receptors
11;9;11_hgf_fibroblast_fgfr_receptor
12;9;12_cd_complex_surface_histocompatibility
13;8;13_remodeling_chromatin_swi_snf
14;8;14_rna_sf_snrnp_pre
15;7;15_glutamate_ntrk_receptors_channels
16;7;16_fa_fancd_fanconi_anemia
17;7;17_morf_cbp_zinc_tip
18;7;18_transcriptional_histone_deacetylases_repressor
19;6;19_bteb_gata_gna_gnas
20;6;20_sarcoma_virus_ras_transforming
21;5;21_runx_runt_subunit_cbfa
22;5;22_eph_ptks_epha_ephrins
23;5;23_bcl_bcr_mll_pdgfra
24;5;24_ptpases_sh_ptpn_pez
25;5;25_nfe_isocitrate_mitochondrial_nadph
26;5;26_pml_bcl_apl_npm
27;5;27_csf_traf_see_summary
28;4;28_pak_paks_gtp_ras
29;4;29_brca_brip_checkpoint_helicase
30;4;30_tshr_ship_cdna_thyroid
31;4;31_development_regulator_itk_tcf
32;4;32_notch_dll_jag_pass
33;3;33_mlh_mismatch_repair_coli
