Topic;Count;Name
-1;73;-1_entry_gene_binding_proteins
0;36;0_human_protein_cdna_amino
1;13;1_dna_repair_ercc_endonuclease
2;13;2_methylation_histone_methyltransferase_patterns
3;12;3_chromatin_snf_swi_remodeling
4;10;4_mtnd_ubiquitin_isocitrate_oxidative
5;10;5_receptor_androgen_corepressor_receptors
6;9;6_cell_ccnd_ajs_epithelial
7;7;7_recql_wrn_dna_polq
8;7;8_kinase_mapk_pik_pkb
9;7;9_ptpases_phosphatases_phosphatase_sh
10;7;10_sf_af_snrnp_pre
11;6;11_cdkn_cyclin_apc_cdk
12;6;12_ras_sarcoma_retinoblastoma_transforming
13;6;13_crm_top_yeast_pms
14;5;14_pathway_tcl_proglucagon_tsc
15;5;15_znf_zinc_motif_finger
16;4;16_traf_tnf_see_summary
17;4;17_dna_arrest_cycle_damage
18;3;18_protease_htra_aat_dock
19;3;19_flt_ret_tyrosine_fms
