Topic;Count;Name
-1;35;-1_gene_protein_entry_slit
0;21;0_complex_entry_chromatin_remodeling
1;10;1_cdna_brca_prex_pax
2;10;2_histone_methylation_demethylation_gene
3;10;3_transcription_corepressor_hormone_receptor
4;9;4_pi_pik_kinase_lipid
5;8;5_dna_repair_replication_telomere
6;7;6_ppars_nfe_isocitrate_oxidative
7;7;7_cell_ajs_membrane_epithelial
8;7;8_hgf_irs_cells_entry
9;6;9_jak_mapk_kinase_kinases
10;6;10_crm_baf_bp_tp
11;5;11_af_sf_pre_snrnp
12;5;12_mll_retinoblastoma_rb_met
13;5;13_msh_repair_entry_checkpoint
14;4;14_terminal_polq_wrn_polymerase
15;4;15_ras_guanine_gnas_gtp
16;4;16_notch_dll_entry_receptors
17;4;17_brain_fancm_adult_fetal
18;3;18_znf_evi_amplification_region
