feature;shap_value;Hugo_Symbol;title;status;description;description_clean;topic
APC_SNP;0.4291069711819858;APC;"APC REGULATOR OF WNT SIGNALING PATHWAY; APC";live;"The APC gene encodes a multidomain protein that plays a major role in tumor suppression by antagonizing the WNT (see WNT1; <a href=""http://omim.org/entry/164820"">164820</a>) signaling pathway. Inappropriate activation of this pathway through loss of APC function contributes to cancer progression, as in familial adenomatous polyposis (FAP; <a href=""http://omim.org/entry/175100"">175100</a>). APC also has a role in cell migration, adhesion, chromosome segregation, spindle assembly, apoptosis, and neuronal differentiation (Hanson and Miller, 2005).

The APC protein is an integral part of the beta-catenin (CTNNB1; <a href=""http://omim.org/entry/116806"">116806</a>) signaling pathway.";apc gene encodes multidomain protein plays major role tumor suppression antagonizing wnt see wnt entry signaling pathway inappropriate activation pathway loss apc function contributes cancer progression familial adenomatous polyposis fap entry apc also role cell migration adhesion chromosome segregation spindle assembly apoptosis neuronal differentiation hanson miller apc protein integral part beta catenin ctnnb entry signaling pathway;15
TP53_SNP;0.4062010056320872;TP53;"TUMOR PROTEIN p53; TP53";live;"The transcription factor p53 responds to diverse cellular stresses to regulate target genes that induce cell cycle arrest, apoptosis, senescence, DNA repair, or changes in metabolism. In addition, p53 appears to induce apoptosis through nontranscriptional cytoplasmic processes. In unstressed cells, p53 is kept inactive essentially through the actions of the ubiquitin ligase MDM2 (<a href=""http://omim.org/entry/164785"">164785</a>), which inhibits p53 transcriptional activity and ubiquitinates p53 to promote its degradation. Numerous posttranslational modifications modulate p53 activity, most notably phosphorylation and acetylation. Several less abundant p53 isoforms also modulate p53 activity. Activity of p53 is ubiquitously lost in human cancer either by mutation of the p53 gene itself or by loss of cell signaling upstream or downstream of p53 (Toledo and Wahl, 2006; Bourdon, 2007; Vousden and Lane, 2007).";transcription factor p responds diverse cellular stresses regulate target genes induce cell cycle arrest apoptosis senescence dna repair changes metabolism addition p appears induce apoptosis nontranscriptional cytoplasmic processes unstressed cells p kept inactive essentially actions ubiquitin ligase mdm entry inhibits p transcriptional activity ubiquitinates p promote degradation numerous posttranslational modifications modulate p activity notably phosphorylation acetylation several less abundant p isoforms also modulate p activity activity p ubiquitously lost human cancer either mutation p gene loss cell signaling upstream downstream p toledo wahl bourdon vousden lane;15
KRAS_SNP;0.2882448429064067;KRAS;"KRAS PROTOONCOGENE, GTPase; KRAS";live;"The KRAS gene encodes the human cellular homolog of a transforming gene isolated from the Kirsten rat sarcoma virus. The RAS proteins are GDP/GTP-binding proteins that act as intracellular signal transducers. The most well-studied members of the RAS (derived from 'RAt Sarcoma' virus) gene family include KRAS, HRAS (<a href=""http://omim.org/entry/190020"">190020</a>), and NRAS (<a href=""http://omim.org/entry/164790"">164790</a>). These genes encode immunologically related proteins with a molecular mass of 21 kD and are homologs of rodent sarcoma virus genes that have transforming abilities. While these wildtype cellular proteins in humans play a vital role in normal tissue signaling, including proliferation, differentiation, and senescence, mutated genes are potent oncogenes that play a role in many human cancers (Weinberg, 1982; Kranenburg, 2005).";kras gene encodes human cellular homolog transforming gene isolated kirsten rat sarcoma virus ras proteins gdp gtp binding proteins act intracellular signal transducers well studied members ras derived rat sarcoma virus gene family include kras hras entry nras entry genes encode immunologically related proteins molecular mass kd homologs rodent sarcoma virus genes transforming abilities wildtype cellular proteins humans play vital role normal tissue signaling including proliferation differentiation senescence mutated genes potent oncogenes play role many human cancers weinberg kranenburg;1
TERT_SNP;0.1602511479777221;TERT;"TELOMERASE REVERSE TRANSCRIPTASE; TERT";live;Human telomeres consist of many kilobases of (TTAGGG)n together with various associated proteins. Small amounts of these terminal sequences are lost from the tips of the chromosomes each S phase because of incomplete DNA replication, but de novo addition of TTAGGG repeats by the enzyme telomerase compensates for this loss. Many human cells progressively lose terminal sequence with cell division, a loss that correlates with the apparent absence of telomerase in these cells (Kipling, 1995).;human telomeres consist many kilobases ttaggg n together various associated proteins small amounts terminal sequences lost tips chromosomes phase incomplete dna replication de novo addition ttaggg repeats enzyme telomerase compensates loss many human cells progressively lose terminal sequence cell division loss correlates apparent absence telomerase cells kipling;-1
BRAF_SNP;0.1162619297753133;BRAF;"B-RAF PROTOONCOGENE, SERINE/THREONINE KINASE; BRAF";live;"Using an oligomer unique to the BRAF kinase domain, Sithanandam et al. (1990) cloned full-length BRAF from a testis cDNA library. The deduced 651-amino acid protein has a calculated molecular mass of 72.5 kD. It contains all 3 conserved regions of RAF protein kinases: a putative zinc finger region, a serine/threonine-rich region, and a C-terminal kinase domain, which includes a putative ATP-binding site and a catalytic lysine. In addition, the N terminus of BRAF is serine-rich, and it has a consensus CDC2 (CDK1; <a href=""http://omim.org/entry/116940"">116940</a>) phosphorylation motif. Northern blot analysis detected transcripts of 10 and 13 kb in cerebrum, fetal brain, and placenta and transcripts of 2.6 and 4.5 kb in testis. Testis also showed lower expression of the 10- and 13-kb transcripts.

Eychene et al. (1992) stated that the BRAF gene is the human homolog of the avian c-Rmil protooncogene encoding a 94-kD serine/threonine kinase detected in avian cells. This protein contains amino-terminal sequences not found in other proteins of the mil/raf gene family. These sequences are encoded by 3 exons in the avian genome. Eychene et al. (1992) reported that these 3 exons are conserved in the human BRAF gene and that they encode an amino acid sequence similar to that of the avian gene.";using oligomer unique braf kinase domain sithanandam cloned full length braf testis cdna library deduced amino acid protein calculated molecular mass kd contains conserved regions raf protein kinases putative zinc finger region serine threonine rich region c terminal kinase domain includes putative atp binding site catalytic lysine addition n terminus braf serine rich consensus cdc cdk entry phosphorylation motif northern blot analysis detected transcripts kb cerebrum fetal brain placenta transcripts kb testis testis also showed lower expression kb transcripts eychene stated braf gene human homolog avian c rmil protooncogene encoding kd serine threonine kinase detected avian cells protein contains amino terminal sequences found proteins mil raf gene family sequences encoded exons avian genome eychene reported exons conserved human braf gene encode amino acid sequence similar avian gene;-1
SMAD4_SNP;0.0808755568758703;SMAD4;"SMAD FAMILY MEMBER 4; SMAD4";live;"The SMAD4 gene encodes a protein involved in signal transduction of the transforming growth factor-beta (see, e.g., TGFB1, <a href=""http://omim.org/entry/190180"">190180</a>) superfamily and bone morphogenic proteins (see, e.g., BMP1, <a href=""http://omim.org/entry/112264"">112264</a>) by mediating transcriptional activation of target genes. SMAD4 is the common SMAD protein required for most transcriptional responses to TGFB and BMP signaling (summary by Shioda et al., 1998 and Davis et al., 2008).";smad gene encodes protein involved signal transduction transforming growth factor beta see e g tgfb entry superfamily bone morphogenic proteins see e g bmp entry mediating transcriptional activation target genes smad common smad protein required transcriptional responses tgfb bmp signaling summary shioda davis;-1
EGFR_DEL;0.0776801973966036;EGFR;"EPIDERMAL GROWTH FACTOR RECEPTOR; EGFR";live;EGFR and its ligands are cell signaling molecules involved in diverse cellular functions, including cell proliferation, differentiation, motility, and survival, and in tissue development (Wang et al., 2004).;egfr ligands cell signaling molecules involved diverse cellular functions including cell proliferation differentiation motility survival tissue development wang;11
FBXW7_SNP;0.0586674154707707;FBXW7;"F-BOX AND WD40 DOMAIN PROTEIN 7; FBXW7";live;"Archipelago is an F-box protein with 7 tandem WD (tryptophan-aspartic acid) repeats. It binds directly to cyclin E (<a href=""http://omim.org/entry/123837"">123837</a>) and is thought to target it for ubiquitin-mediated degradation (Moberg et al., 2001).";archipelago f box protein tandem wd tryptophan aspartic acid repeats binds directly cyclin e entry thought target ubiquitin mediated degradation moberg;2
CDKN2A_SNP;0.0445160699129354;CDKN2A;"CYCLIN-DEPENDENT KINASE INHIBITOR 2A; CDKN2A";live;"The CDKN2A gene encodes proteins that regulate 2 critical cell cycle regulatory pathways, the p53 (TP53; <a href=""http://omim.org/entry/191170"">191170</a>) pathway and the RB1 (<a href=""http://omim.org/entry/614041"">614041</a>) pathway. Through the use of shared coding regions and alternative reading frames, the CDKN2A gene produces 2 major proteins: p16(INK4), which is a cyclin-dependent kinase inhibitor, and p14(ARF), which binds the p53-stabilizing protein MDM2 (<a href=""http://omim.org/entry/164785"">164785</a>) (Robertson and Jones, 1999).";cdkn gene encodes proteins regulate critical cell cycle regulatory pathways p tp entry pathway rb entry pathway use shared coding regions alternative reading frames cdkn gene produces major proteins p ink cyclin dependent kinase inhibitor p arf binds p stabilizing protein mdm entry robertson jones;18
KMT2D_SNP;0.0420111222854861;KMT2D;"LYSINE-SPECIFIC METHYLTRANSFERASE 2D; KMT2D";live;"The SET domain is a motif characteristic of proteins such as human ALL1 (<a href=""http://omim.org/entry/159555"">159555</a>) and Drosophila 'trithorax' (trx) and is found at the C terminus of the 2 proteins. Using the ALL1 SET domain as a probe, Prasad et al. (1997) cloned a novel gene, KMT2D, which they designated ALR (ALL1-related gene). The gene encodes a 5,262-amino acid protein containing a SET domain, 5 PHD fingers, potential zinc fingers, and a long run of glutamines interrupted by hydrophobic residues (mostly leucine). They also detected an alternatively spliced form encoding 4,957 amino acids and lacking an N-terminal zinc finger and PHD finger. Analysis of ALR expression showed that its approximately 18-kb transcript is expressed, like ALL1, in most adult tissues, including a variety of hematopoietic cells, but not in liver. Whole-mount in situ hybridization of early mouse embryos indicated expression of a similar mouse gene in multiple tissues. Based on similarities in structure and expression pattern, Prasad et al. (1997) concluded that ALR is likely to play a role similar to those of ALL1 and trx.";set domain motif characteristic proteins human entry drosophila trithorax trx found c terminus proteins using set domain probe prasad cloned novel gene kmt designated alr related gene gene encodes amino acid protein containing set domain phd fingers potential zinc fingers long run glutamines interrupted hydrophobic residues mostly leucine also detected alternatively spliced form encoding amino acids lacking n terminal zinc finger phd finger analysis alr expression showed approximately kb transcript expressed like adult tissues including variety hematopoietic cells liver whole mount situ hybridization early mouse embryos indicated expression similar mouse gene multiple tissues based similarities structure expression pattern prasad concluded alr likely play role similar trx;-1
