Topic;Count;Name
-1;57;-1_protein_entry_gene_amino
0;17;0_kinase_pi_pik_kinases
1;13;1_brca_maml_expression_prex
2;13;2_ubiquitin_ligase_ccnd_entry
3;13;3_dna_repair_replication_sister
4;12;4_cyclin_gata_zinc_enhancer
5;12;5_hgf_receptor_irs_kinase
6;10;6_histone_methylation_hdac_methyltransferase
7;10;7_mtnd_mitochondrial_catalyzes_wallace
8;9;8_runx_runt_subunit_asx
9;9;9_chromatin_remodeling_snf_swi
10;8;10_slit_crm_madr_protein
11;8;11_cell_ajs_adhesion_cadherin
12;7;12_rna_sf_pre_af
13;6;13_pak_paks_rho_regulation
14;6;14_bcl_mll_pdgfra_gene
15;5;15_apc_apoptosis_pathway_arrest
16;5;16_antigens_hla_class_mhc
17;5;17_glutamate_receptors_ntrk_ntf
18;5;18_interferon_irf_dna_prkdc
19;4;19_jak_syk_janus_tyrosine
20;4;20_traf_receptor_defines_axon
21;4;21_detected_pdl_sh_expression
