Topic;Count;Name
-1;68;-1_entry_protein_gene_encodes
0;22;0_analysis_amino_human_detected
1;18;1_pi_pik_inositol_subunit
2;16;2_ubiquitin_puma_ligase_degradation
3;10;3_methylation_histone_epigenetic_methyltransferase
4;10;4_ercc_repair_dna_excision
5;10;5_card_bcl_apoptosis_apc
6;10;6_receptor_androgen_hormone_ar
7;9;7_sarcoma_ras_transforming_virus
8;9;8_cell_adhesion_ajs_cadherin
9;8;9_zinc_enhancer_gata_finger
10;8;10_gene_rhombotin_bcl_mll
11;7;11_ntf_neurotrophins_csf_ntrk
12;6;12_swi_snf_chromatin_remodeling
13;6;13_runx_runt_subunit_cbfa
14;5;14_beta_activins_fsh_inhibins
15;5;15_hgf_receptor_factor_alk
16;5;16_helix_box_forkhead_loop
17;5;17_brca_brip_stability_helicase
18;5;18_pre_af_sf_snrnp
19;5;19_jak_mapk_socs_cytokine
20;5;20_il_irs_receptor_npy
21;5;21_growth_tgf_beta_receptor
22;4;22_torc_magi_trafficking_mtor
23;3;23_ras_gnas_gtp_guanine
