Topic;Count;Name
-1;70;-1_entry_protein_gene_amino
0;17;0_pik_kinase_pi_subunit
1;17;1_repair_dna_ercc_recql
2;15;2_ubiquitin_ligase_complex_entry
3;13;3_chromatin_pre_remodeling_sf
4;12;4_prex_cdna_irs_receptor
5;12;5_histone_methylation_methyltransferase_lys
6;12;6_gata_zinc_cells_gna
7;8;7_cd_entry_ctla_shh
8;8;8_phox_amino_unr_acids
9;8;9_cell_ajs_epithelial_adherens
10;7;10_csf_summary_ras_nmda
11;7;11_cdk_cdkn_cycle_dna
12;6;12_ras_sarcoma_virus_transforming
13;5;13_runx_fancd_drosophila_runt
14;5;14_nbs_tsc_kb_chromosome
15;5;15_pms_yeast_baf_rad
16;4;16_mapk_kinase_mitogen_rskb
17;4;17_pdgfra_retinoblastoma_met_rb
18;3;18_remodeling_histone_chromatin_encodes
19;3;19_rel_retinoic_rara_corepressor
