Topic;Count;Name
-1;85;-1_entry_domain_protein_gene
0;15;0_card_cdkn_apoptosis_cyclin
1;14;1_yeast_pms_crm_human
2;14;2_brain_detected_expression_analysis
3;13;3_histone_methylation_methyltransferase_prc
4;12;4_il_receptor_cd_interleukin
5;10;5_ercc_repair_dna_excision
6;10;6_ptpases_phosphatase_sh_tyrosine
7;9;7_chromatin_adp_remodeling_snf
8;9;8_ubiquitin_ligase_nfe_bap
9;9;9_pik_pi_phosphoinositide_pkb
10;9;10_hormone_androgen_steroid_receptor
11;9;11_gata_zinc_finger_hematopoietic
12;8;12_rhombotin_gene_bcl_bcr
13;8;13_ras_sarcoma_transforming_virus
14;7;14_ajs_cell_nmda_slitrk
15;7;15_runx_runt_subunit_repressor
16;7;16_rna_prime_exonucleolytic_dicer
17;7;17_growth_factor_tyrosine_receptor
18;7;18_notch_dll_heregulin_pass
19;7;19_tap_trafficking_dock_magi
20;5;20_ptpr_kappa_ron_catenin
21;5;21_map_pks_mek_kidney
22;5;22_lats_drosophila_madr_mad
23;5;23_eph_ptks_ephrins_epha
24;5;24_retinoic_rara_ncor_corepressor
25;4;25_wrn_rs_dpbd_af
26;4;26_mtnd_isocitrate_wallace_mitochondrial
27;4;27_mapk_erk_microtubules_aurora
28;4;28_box_eif_helix_forkhead
29;4;29_stag_cohesin_sister_cohesion
30;4;30_heterotrimeric_gtp_proteins_alpha
31;4;31_threonine_serine_regulates_phosphorylation
32;4;32_sf_pre_snrnp_af
33;4;33_core_anemia_fanconi_meetei
34;4;34_mismatch_mlh_msh_repair
35;4;35_brca_brip_checkpoint_helicase
