Topic;Count;Name
-1;87;-1_entry_protein_gene_human
0;19;0_rna_remodeling_chromatin_complex
1;15;1_repair_ercc_dna_excision
2;15;2_cdna_brca_detected_human
3;12;3_catenin_wnt_apc_beta
4;11;4_ubiquitin_kappa_ligase_nf
5;10;5_methylation_histone_prc_demethylation
6;9;6_mad_drosophila_raptor_madr
7;9;7_pik_pi_phosphoinositide_gamma
8;7;8_jak_socs_kinase_cytokine
9;7;9_ras_transforming_sarcoma_virus
10;6;10_ptpases_sh_phosphatase_catalytic
11;6;11_top_crm_baf_yeast
12;6;12_erbb_receptor_growth_factor
13;5;13_serine_threonine_kinase_regulates
14;5;14_il_cells_presenting_mch
15;4;15_ron_ga_epcam_epithelial
16;4;16_mtnd_isocitrate_mitochondrial_wallace
17;4;17_runx_ets_runt_transcription
18;4;18_bcl_germinal_center_lymphomas
19;4;19_androgen_progesterone_ar_receptor
20;4;20_notch_dll_jag_pass
21;4;21_transcriptional_repressor_corepressors_mediator
22;4;22_bcl_mll_pdgfra_gene
23;3;23_development_regulator_itk_syk
24;3;24_gata_gna_binding_rbm
25;3;25_stat_beta_insulin_subunits
