feature;shap_value;Hugo_Symbol;title;status;description;description_clean;topic
JAK3_SNP;0.014488197768651;JAK3;"JANUS KINASE 3; JAK3";live;"JAK3 is a member of the Janus kinase (JAK) family of tyrosine kinases involved in cytokine receptor-mediated intracellular signal transduction (see also JAK1, <a href=""http://omim.org/entry/147795"">147795</a>; JAK2, <a href=""http://omim.org/entry/147796"">147796</a>; TYK2, <a href=""http://omim.org/entry/176941"">176941</a>).";jak member janus kinase jak family tyrosine kinases involved cytokine receptor mediated intracellular signal transduction see also jak entry jak entry tyk entry;-1
KDM5A_SNP;0.0126999984232464;KDM5A;"LYSINE DEMETHYLASE 5A; KDM5A";live;"Methylation of histone H3 (see <a href=""http://omim.org/entry/602810"">602810</a>) lys4 (H3K4) is an important epigenetic modification involved in gene activation. H3K4 di- and trimethylation (H3K4me2 and H3K4me3, respectively) residues mark the transcription start sites of actively transcribed genes, whereas a high level of H3K4 monomethylation (H3K4me1) is associated with enhancer sequences. Members of the KDM5 family of JmjC domain-containing proteins, including KDM5A, are demethylases of H3K4me2 and H3K4me3 and cause gene repression (summary by Shao et al., 2014).";methylation histone h see entry lys h k important epigenetic modification involved gene activation h k di trimethylation h k h k respectively residues mark transcription start sites actively transcribed genes whereas high level h k monomethylation h k associated enhancer sequences members kdm family jmjc domain containing proteins including kdm demethylases h k h k cause gene repression summary shao;-1
TP53_SNP;0.0064236941585796;TP53;"TUMOR PROTEIN p53; TP53";live;"The transcription factor p53 responds to diverse cellular stresses to regulate target genes that induce cell cycle arrest, apoptosis, senescence, DNA repair, or changes in metabolism. In addition, p53 appears to induce apoptosis through nontranscriptional cytoplasmic processes. In unstressed cells, p53 is kept inactive essentially through the actions of the ubiquitin ligase MDM2 (<a href=""http://omim.org/entry/164785"">164785</a>), which inhibits p53 transcriptional activity and ubiquitinates p53 to promote its degradation. Numerous posttranslational modifications modulate p53 activity, most notably phosphorylation and acetylation. Several less abundant p53 isoforms also modulate p53 activity. Activity of p53 is ubiquitously lost in human cancer either by mutation of the p53 gene itself or by loss of cell signaling upstream or downstream of p53 (Toledo and Wahl, 2006; Bourdon, 2007; Vousden and Lane, 2007).";transcription factor p responds diverse cellular stresses regulate target genes induce cell cycle arrest apoptosis senescence dna repair changes metabolism addition p appears induce apoptosis nontranscriptional cytoplasmic processes unstressed cells p kept inactive essentially actions ubiquitin ligase mdm entry inhibits p transcriptional activity ubiquitinates p promote degradation numerous posttranslational modifications modulate p activity notably phosphorylation acetylation several less abundant p isoforms also modulate p activity activity p ubiquitously lost human cancer either mutation p gene loss cell signaling upstream downstream p toledo wahl bourdon vousden lane;-1
IPMK_SNP;0.0049024458178788;IPMK;"INOSITOL POLYPHOSPHATE MULTIKINASE; IPMK";live;"By searching databases for human sequences similar to yeast Arg82, Nalaskowski et al. (2002) obtained a full-length IPMK cDNA. The deduced 416-amino acid protein has a calculated molecular mass of 47.2 kD. It contains an N-terminal inositol phosphate-binding site, a central ser-ser-leu-leu (SSLL) domain, a basic nuclear localization signal, and a C-terminal ATP-binding site. Fluorescence-tagged human IPMK localized predominantly in the nucleus of transfected rat kidney cells.

By searching for sequences similar to rat Ipmk, Chang et al. (2002) identified human IPMK. Northern blot analysis detected ubiquitous expression of 6- and 4-kb IPMK transcripts, with highest levels in liver, followed by skeletal muscle, placenta, and peripheral blood leukocytes. This pattern of expression differed from that of rat Ipmk, which was highly expressed in kidney and brain.";searching databases human sequences similar yeast arg nalaskowski obtained full length ipmk cdna deduced amino acid protein calculated molecular mass kd contains n terminal inositol phosphate binding site central ser ser leu leu ssll domain basic nuclear localization signal c terminal atp binding site fluorescence tagged human ipmk localized predominantly nucleus transfected rat kidney cells searching sequences similar rat ipmk chang identified human ipmk northern blot analysis detected ubiquitous expression kb ipmk transcripts highest levels liver followed skeletal muscle placenta peripheral blood leukocytes pattern expression differed rat ipmk highly expressed kidney brain;-1
PALB2_SNP;0.0028826190016539;PALB2;"PARTNER AND LOCALIZER OF BRCA2; PALB2";live;"PALB2 colocalizes with BRCA2 (<a href=""http://omim.org/entry/600185"">600185</a>) in nuclear foci, promotes its localization and stability in nuclear structures, and enables its recombinational repair and checkpoint functions (Xia et al., 2006).";palb colocalizes brca entry nuclear foci promotes localization stability nuclear structures enables recombinational repair checkpoint functions xia;-1
GLI2_SNP;0.0021011122928607;GLI2;"GLI-KRUPPEL FAMILY MEMBER 2; GLI2";live;"The GLI2 gene encodes a vertebral transcription factor involved in SHH (<a href=""http://omim.org/entry/600275"">600275</a>) signal transduction (Roessler et al., 2003).";gli gene encodes vertebral transcription factor involved shh entry signal transduction roessler;-1
KRAS_SNP;0.0018129559201824;KRAS;"KRAS PROTOONCOGENE, GTPase; KRAS";live;"The KRAS gene encodes the human cellular homolog of a transforming gene isolated from the Kirsten rat sarcoma virus. The RAS proteins are GDP/GTP-binding proteins that act as intracellular signal transducers. The most well-studied members of the RAS (derived from 'RAt Sarcoma' virus) gene family include KRAS, HRAS (<a href=""http://omim.org/entry/190020"">190020</a>), and NRAS (<a href=""http://omim.org/entry/164790"">164790</a>). These genes encode immunologically related proteins with a molecular mass of 21 kD and are homologs of rodent sarcoma virus genes that have transforming abilities. While these wildtype cellular proteins in humans play a vital role in normal tissue signaling, including proliferation, differentiation, and senescence, mutated genes are potent oncogenes that play a role in many human cancers (Weinberg, 1982; Kranenburg, 2005).";kras gene encodes human cellular homolog transforming gene isolated kirsten rat sarcoma virus ras proteins gdp gtp binding proteins act intracellular signal transducers well studied members ras derived rat sarcoma virus gene family include kras hras entry nras entry genes encode immunologically related proteins molecular mass kd homologs rodent sarcoma virus genes transforming abilities wildtype cellular proteins humans play vital role normal tissue signaling including proliferation differentiation senescence mutated genes potent oncogenes play role many human cancers weinberg kranenburg;-1
KMT2D_SNP;0.001554157881315;KMT2D;"LYSINE-SPECIFIC METHYLTRANSFERASE 2D; KMT2D";live;"The SET domain is a motif characteristic of proteins such as human ALL1 (<a href=""http://omim.org/entry/159555"">159555</a>) and Drosophila 'trithorax' (trx) and is found at the C terminus of the 2 proteins. Using the ALL1 SET domain as a probe, Prasad et al. (1997) cloned a novel gene, KMT2D, which they designated ALR (ALL1-related gene). The gene encodes a 5,262-amino acid protein containing a SET domain, 5 PHD fingers, potential zinc fingers, and a long run of glutamines interrupted by hydrophobic residues (mostly leucine). They also detected an alternatively spliced form encoding 4,957 amino acids and lacking an N-terminal zinc finger and PHD finger. Analysis of ALR expression showed that its approximately 18-kb transcript is expressed, like ALL1, in most adult tissues, including a variety of hematopoietic cells, but not in liver. Whole-mount in situ hybridization of early mouse embryos indicated expression of a similar mouse gene in multiple tissues. Based on similarities in structure and expression pattern, Prasad et al. (1997) concluded that ALR is likely to play a role similar to those of ALL1 and trx.";set domain motif characteristic proteins human entry drosophila trithorax trx found c terminus proteins using set domain probe prasad cloned novel gene kmt designated alr related gene gene encodes amino acid protein containing set domain phd fingers potential zinc fingers long run glutamines interrupted hydrophobic residues mostly leucine also detected alternatively spliced form encoding amino acids lacking n terminal zinc finger phd finger analysis alr expression showed approximately kb transcript expressed like adult tissues including variety hematopoietic cells liver whole mount situ hybridization early mouse embryos indicated expression similar mouse gene multiple tissues based similarities structure expression pattern prasad concluded alr likely play role similar trx;-1
PIK3CA_SNP;0.0013177214033762;PIK3CA;"PHOSPHATIDYLINOSITOL 3-KINASE, CATALYTIC, ALPHA; PIK3CA";live;"Bovine phosphatidylinositol 3-kinase ({EC 2.7.1.137}) is composed of 85-kD (<a href=""http://omim.org/entry/171833"">171833</a>) and 110-kD subunits. The 85-kD subunit lacks PI3-kinase activity and acts as an adaptor, coupling the 110-kD subunit (p110) to activated protein tyrosine kinases. Hiles et al. (1992) found that the bovine cDNA for p110 predicts a 1,068-amino acid protein related to a protein which in S. cerevisiae is involved in the sorting of proteins to the vacuole.

Volinia et al. (1994) cloned the cDNA for the human p110 subunit (PIK3CA) and found that it encodes a protein 99% identical to the bovine p110 enzyme.

See also PIK3CG (<a href=""http://omim.org/entry/601232"">601232</a>) and PIK3CD (<a href=""http://omim.org/entry/602839"">602839</a>), the genes encoding the p110-gamma and p110-delta polypeptides, respectively.";bovine phosphatidylinositol kinase ec composed kd entry kd subunits kd subunit lacks pi kinase activity acts adaptor coupling kd subunit p activated protein tyrosine kinases hiles found bovine cdna p predicts amino acid protein related protein cerevisiae involved sorting proteins vacuole volinia cloned cdna human p subunit pik ca found encodes protein identical bovine p enzyme see also pik cg entry pik cd entry genes encoding p gamma p delta polypeptides respectively;-1
TERT_SNP;0.0012149649967533;TERT;"TELOMERASE REVERSE TRANSCRIPTASE; TERT";live;Human telomeres consist of many kilobases of (TTAGGG)n together with various associated proteins. Small amounts of these terminal sequences are lost from the tips of the chromosomes each S phase because of incomplete DNA replication, but de novo addition of TTAGGG repeats by the enzyme telomerase compensates for this loss. Many human cells progressively lose terminal sequence with cell division, a loss that correlates with the apparent absence of telomerase in these cells (Kipling, 1995).;human telomeres consist many kilobases ttaggg n together various associated proteins small amounts terminal sequences lost tips chromosomes phase incomplete dna replication de novo addition ttaggg repeats enzyme telomerase compensates loss many human cells progressively lose terminal sequence cell division loss correlates apparent absence telomerase cells kipling;-1
