feature;shap_value;Hugo_Symbol;title;status;description;description_clean;topic
TP53_SNP;0.0232059163628048;TP53;"TUMOR PROTEIN p53; TP53";live;"The transcription factor p53 responds to diverse cellular stresses to regulate target genes that induce cell cycle arrest, apoptosis, senescence, DNA repair, or changes in metabolism. In addition, p53 appears to induce apoptosis through nontranscriptional cytoplasmic processes. In unstressed cells, p53 is kept inactive essentially through the actions of the ubiquitin ligase MDM2 (<a href=""http://omim.org/entry/164785"">164785</a>), which inhibits p53 transcriptional activity and ubiquitinates p53 to promote its degradation. Numerous posttranslational modifications modulate p53 activity, most notably phosphorylation and acetylation. Several less abundant p53 isoforms also modulate p53 activity. Activity of p53 is ubiquitously lost in human cancer either by mutation of the p53 gene itself or by loss of cell signaling upstream or downstream of p53 (Toledo and Wahl, 2006; Bourdon, 2007; Vousden and Lane, 2007).";transcription factor p responds diverse cellular stresses regulate target genes induce cell cycle arrest apoptosis senescence dna repair changes metabolism addition p appears induce apoptosis nontranscriptional cytoplasmic processes unstressed cells p kept inactive essentially actions ubiquitin ligase mdm entry inhibits p transcriptional activity ubiquitinates p promote degradation numerous posttranslational modifications modulate p activity notably phosphorylation acetylation several less abundant p isoforms also modulate p activity activity p ubiquitously lost human cancer either mutation p gene loss cell signaling upstream downstream p toledo wahl bourdon vousden lane;1
KEAP1_SNP;0.0204919592963926;KEAP1;"KELCH-LIKE ECH-ASSOCIATED PROTEIN 1; KEAP1";live;"KEAP1 is a substrate adaptor protein for a CUL3 (<a href=""http://omim.org/entry/603136"">603136</a>)-dependent ubiquitin ligase complex that functions as a sensor for thiol-reactive chemopreventive compounds and oxidative stress (Lo and Hannink, 2006).";keap substrate adaptor protein cul entry dependent ubiquitin ligase complex functions sensor thiol reactive chemopreventive compounds oxidative stress lo hannink;1
LZTR1_SNP;0.0155138724429921;LZTR1;"LEUCINE ZIPPER-LIKE TRANSCRIPTIONAL REGULATOR 1; LZTR1";live;The LZTR1 gene encodes a protein that belongs to a functionally diverse superfamily of BTB/POZ (broad complex, tramtrack, and bric-a-brac/poxvirus and zinc finger) proteins. BTB-containing proteins control fundamental cellular processes, ranging from the regulation of chromatin conformation to the cell cycle (summary by Piotrowski et al., 2014).;lztr gene encodes protein belongs functionally diverse superfamily btb poz broad complex tramtrack bric brac poxvirus zinc finger proteins btb containing proteins control fundamental cellular processes ranging regulation chromatin conformation cell cycle summary piotrowski;0
RB1_SNP;0.0151863044343551;RB1;"RB TRANSCRIPTIONAL COREPRESSOR 1; RB1";live;"Dryja et al. (1984) cloned DNA fragments from chromosome 13. Three of these identified RFLPs from region 13q12-q22, which contains the retinoblastoma (<a href=""http://omim.org/entry/180200"">180200</a>) 'locus.'

Friend et al. (1986) isolated a cDNA that detects a chromosomal segment having the properties of the gene at the retinoblastoma locus. The gene was found to be expressed in many tumor types, but no RNA transcript was found in retinoblastomas or osteosarcomas. The locus spanned at least 70 kb of DNA. Friend et al. (1986) started with a 1.5 kb DNA sequence which could detect deletions involving 13q14 in 3 of 37 retinoblastomas. They then used chromosome walking techniques to isolate and map 30 kb of surrounding genomic DNA. One of the single-copy fragments recognized a DNA sequence in the mouse genome and also in human chromosome 13. The conservation of this DNA sequence between mouse and humans suggested that the cloned fragment contained a coding exon of a gene. Therefore, they tested the ability of this fragment to hybridize to RNA derived from retinoblastoma cells and from human retinal cells. They found that indeed it recognized a 4.7-kb RNA transcript in the retinal cell line but that this transcript was not detectable in 4 retinoblastomas.

As outlined by Cavenee (1986), when the cDNA described by Friend et al. (1986) was used as a probe to screen RNA samples from different tumor types, it was shown to hybridize to all of those tested except retinoblastomas and retinoblastoma-associated osteosarcomas. Furthermore, use of this cDNA to analyze the genomic structure of its homologous locus in 50 retinoblastomas or associated osteosarcomas showed that about 30% had somatically altered genomic loci. These alterations took the form of fragments of altered mobility (suggesting gene rearrangements), underrepresented fragments (suggesting heterozygous deletions), and missing fragments (suggesting homozygous deletions). Since one of the homozygous deletions was entirely contained within the genomic locus homologous to the cDNA probe, it was suggested that this expressed gene was indeed the RB1 gene.

Dryja et al. (1986) isolated a cDNA fragment derived from human retinal mRNA that detected a locus within 13q14 that is often deleted in retinoblastoma.

Lee et al. (1987) prepared a rabbit antiserum against the RB protein studied by Horsthemke et al. (1987) and showed that it was present in all cell lines expressing normal RB mRNA but was not detected in 5 retinoblastoma cell lines. The RB protein can be metabolically labeled with (32)P-phosphoric acid, indicating that it is a phosphoprotein. Biochemical fractionation and immunofluorescence studies demonstrated that most of the protein is located in the nucleus. Furthermore, the protein was retained by and could be eluted from DNA-cellulose columns, suggesting a DNA binding activity.

A gene encoding a messenger RNA of 4.6 kb, located in the proximity of esterase D (<a href=""http://omim.org/entry/133280"">133280</a>), was identified by Lee et al. (1987) as the retinoblastoma susceptibility gene on the basis of chromosomal location, homozygous deletion, and tumor-specific alterations in expression. Transcription of the gene was abnormal in all of 6 retinoblastomas examined: in 2, mRNA was not detectable, whereas 4 others expressed variable quantities of the mRNA with decreased molecular size of about 4.0 kb. In contrast, full-length RB mRNA was present in human fetal retina and placenta, and in other tumors such as neuroblastoma and medulloblastoma. The sequence of cDNA clones indicated a hypothetical protein of 816 amino acids.

Whyte et al. (1988) demonstrated that a 105,000-Da cellular protein, which is one of the cellular targets implicated in the process of transformation by the adenovirus E1A proteins, is in fact the product of the RB1 gene. This interaction with the formation of a stable protein/protein complex was the first demonstration of a physical link between an oncogene and an antioncogene. A similar case can be made for numerous other disorders, many of which are more common.

Toguchida et al. (1993) reported the complete genomic sequence of the RB1 gene, which was contained in a 180,388-bp contig. The gene produces a 4.7-kb transcript that encodes a nuclear phosphoprotein consisting of 928 amino acids.";dryja cloned dna fragments chromosome three identified rflps region q q contains retinoblastoma entry locus friend isolated cdna detects chromosomal segment properties gene retinoblastoma locus gene found expressed many tumor types rna transcript found retinoblastomas osteosarcomas locus spanned least kb dna friend started kb dna sequence could detect deletions involving q retinoblastomas used chromosome walking techniques isolate map kb surrounding genomic dna one single copy fragments recognized dna sequence mouse genome also human chromosome conservation dna sequence mouse humans suggested cloned fragment contained coding exon gene therefore tested ability fragment hybridize rna derived retinoblastoma cells human retinal cells found indeed recognized kb rna transcript retinal cell line transcript detectable retinoblastomas outlined cavenee cdna described friend used probe screen rna samples different tumor types shown hybridize tested except retinoblastomas retinoblastoma associated osteosarcomas furthermore use cdna analyze genomic structure homologous locus retinoblastomas associated osteosarcomas showed somatically altered genomic loci alterations took form fragments altered mobility suggesting gene rearrangements underrepresented fragments suggesting heterozygous deletions missing fragments suggesting homozygous deletions since one homozygous deletions entirely contained within genomic locus homologous cdna probe suggested expressed gene indeed rb gene dryja isolated cdna fragment derived human retinal mrna detected locus within q often deleted retinoblastoma lee prepared rabbit antiserum rb protein studied horsthemke showed present cell lines expressing normal rb mrna detected retinoblastoma cell lines rb protein metabolically labeled p phosphoric acid indicating phosphoprotein biochemical fractionation immunofluorescence studies demonstrated protein located nucleus furthermore protein retained could eluted dna cellulose columns suggesting dna binding activity gene encoding messenger rna kb located proximity esterase entry identified lee retinoblastoma susceptibility gene basis chromosomal location homozygous deletion tumor specific alterations expression transcription gene abnormal retinoblastomas examined mrna detectable whereas others expressed variable quantities mrna decreased molecular size kb contrast full length rb mrna present human fetal retina placenta tumors neuroblastoma medulloblastoma sequence cdna clones indicated hypothetical protein amino acids whyte demonstrated da cellular protein one cellular targets implicated process transformation adenovirus e proteins fact product rb gene interaction formation stable protein protein complex first demonstration physical link oncogene antioncogene similar case made numerous disorders many common toguchida reported complete genomic sequence rb gene contained bp contig gene produces kb transcript encodes nuclear phosphoprotein consisting amino acids;0
INPP4A_SNP;0.0108677895018718;INPP4A;"INOSITOL POLYPHOSPHATE-4-PHOSPHATASE, TYPE I, 107-KD; INPP4A";live;Inositol polyphosphate 4-phosphatase catalyzes the hydrolysis of the 4-position phosphate of inositol 3,4-bisphosphate and inositol 1,3,4-trisphosphate. It also catalyzes, at a much higher rate, the hydrolysis of the 4-position phosphate of phosphatidylinositol 3,4-bisphosphate. Norris et al. (1995) noted that the latter activity has been implicated in mitogenesis mediated by PDGF receptor, the oxidative burst of neutrophils, and translocation of the glucose transporter to the plasma membrane.;inositol polyphosphate phosphatase catalyzes hydrolysis position phosphate inositol bisphosphate inositol trisphosphate also catalyzes much higher rate hydrolysis position phosphate phosphatidylinositol bisphosphate norris noted latter activity implicated mitogenesis mediated pdgf receptor oxidative burst neutrophils translocation glucose transporter plasma membrane;-1
KRAS_SNP;0.0100002164167592;KRAS;"KRAS PROTOONCOGENE, GTPase; KRAS";live;"The KRAS gene encodes the human cellular homolog of a transforming gene isolated from the Kirsten rat sarcoma virus. The RAS proteins are GDP/GTP-binding proteins that act as intracellular signal transducers. The most well-studied members of the RAS (derived from 'RAt Sarcoma' virus) gene family include KRAS, HRAS (<a href=""http://omim.org/entry/190020"">190020</a>), and NRAS (<a href=""http://omim.org/entry/164790"">164790</a>). These genes encode immunologically related proteins with a molecular mass of 21 kD and are homologs of rodent sarcoma virus genes that have transforming abilities. While these wildtype cellular proteins in humans play a vital role in normal tissue signaling, including proliferation, differentiation, and senescence, mutated genes are potent oncogenes that play a role in many human cancers (Weinberg, 1982; Kranenburg, 2005).";kras gene encodes human cellular homolog transforming gene isolated kirsten rat sarcoma virus ras proteins gdp gtp binding proteins act intracellular signal transducers well studied members ras derived rat sarcoma virus gene family include kras hras entry nras entry genes encode immunologically related proteins molecular mass kd homologs rodent sarcoma virus genes transforming abilities wildtype cellular proteins humans play vital role normal tissue signaling including proliferation differentiation senescence mutated genes potent oncogenes play role many human cancers weinberg kranenburg;-1
LRP1B_SNP;0.0073432005184174;LRP1B;"LOW DENSITY LIPOPROTEIN RECEPTOR-RELATED PROTEIN 1B; LRP1B";live;LRP1B belongs to the low density lipoprotein (LDL) receptor gene family. These receptors play a wide variety of roles in normal cell function and development due to their interactions with multiple ligands (Liu et al., 2001).;lrp b belongs low density lipoprotein ldl receptor gene family receptors play wide variety roles normal cell function development due interactions multiple ligands liu;1
KMT2D_DEL;0.0056968364193018;KMT2D;"LYSINE-SPECIFIC METHYLTRANSFERASE 2D; KMT2D";live;"The SET domain is a motif characteristic of proteins such as human ALL1 (<a href=""http://omim.org/entry/159555"">159555</a>) and Drosophila 'trithorax' (trx) and is found at the C terminus of the 2 proteins. Using the ALL1 SET domain as a probe, Prasad et al. (1997) cloned a novel gene, KMT2D, which they designated ALR (ALL1-related gene). The gene encodes a 5,262-amino acid protein containing a SET domain, 5 PHD fingers, potential zinc fingers, and a long run of glutamines interrupted by hydrophobic residues (mostly leucine). They also detected an alternatively spliced form encoding 4,957 amino acids and lacking an N-terminal zinc finger and PHD finger. Analysis of ALR expression showed that its approximately 18-kb transcript is expressed, like ALL1, in most adult tissues, including a variety of hematopoietic cells, but not in liver. Whole-mount in situ hybridization of early mouse embryos indicated expression of a similar mouse gene in multiple tissues. Based on similarities in structure and expression pattern, Prasad et al. (1997) concluded that ALR is likely to play a role similar to those of ALL1 and trx.";set domain motif characteristic proteins human entry drosophila trithorax trx found c terminus proteins using set domain probe prasad cloned novel gene kmt designated alr related gene gene encodes amino acid protein containing set domain phd fingers potential zinc fingers long run glutamines interrupted hydrophobic residues mostly leucine also detected alternatively spliced form encoding amino acids lacking n terminal zinc finger phd finger analysis alr expression showed approximately kb transcript expressed like adult tissues including variety hematopoietic cells liver whole mount situ hybridization early mouse embryos indicated expression similar mouse gene multiple tissues based similarities structure expression pattern prasad concluded alr likely play role similar trx;0
FAT3_SNP;0.0056227669481106;FAT3;"FAT ATYPICAL CADHERIN 3; FAT3";live;"Mitsui et al. (2002) cloned a rat Fat3 cDNA, and they identified a partial human FAT3 cDNA by database analysis. The 4,555-amino acid rat protein has an N-terminal signal peptide, followed by 34 cadherin (see CDH1; <a href=""http://omim.org/entry/192090"">192090</a>) domains, an EGF (<a href=""http://omim.org/entry/131530"">131530</a>)-like motif, a laminin (see LAMA1; <a href=""http://omim.org/entry/150320"">150320</a>) A-G domain, 3 additional EGF-like motifs, a transmembrane domain, and cytoplasmic C-terminal tail. Immunofluorescence staining detected predominant Fat3 expression in fetal rat central nervous system.

Using rat Fat3 to query human EST and genome databases, Katoh and Katoh (2006) identified full-length human FAT3. The deduced 4,557-amino acid protein contains 33 cadherin repeats, a laminin G domain, and 2 EGF domains in its extracellular region, followed by a transmembrane domain and a cytoplasmic C-terminal domain containing a PDZ-binding motif. In silico analysis detected FAT3 mRNAs in embryonic stem cells, primitive neuroectoderm, fetal brain, infant brain, and adult neural tissues and prostate.";mitsui cloned rat fat cdna identified partial human fat cdna database analysis amino acid rat protein n terminal signal peptide followed cadherin see cdh entry domains egf entry like motif laminin see lama entry g domain additional egf like motifs transmembrane domain cytoplasmic c terminal tail immunofluorescence staining detected predominant fat expression fetal rat central nervous system using rat fat query human est genome databases katoh katoh identified full length human fat deduced amino acid protein contains cadherin repeats laminin g domain egf domains extracellular region followed transmembrane domain cytoplasmic c terminal domain containing pdz binding motif silico analysis detected fat mrnas embryonic stem cells primitive neuroectoderm fetal brain infant brain adult neural tissues prostate;0
MGA_INS;0.0054724951586148;MGA;"MAX DIMERIZATION PROTEIN MGA; MGA";live;"MGA is a transcriptional repressor or activator depending upon the presence of its binding partner, MAX (<a href=""http://omim.org/entry/154950"">154950</a>) (Hurlin et al., 1999).";mga transcriptional repressor activator depending upon presence binding partner max entry hurlin;1
