Topic;Count;Name
-1;74;-1_entry_gene_protein_cell
0;63;0_protein_amino_human_expression
1;18;1_kinase_mapk_cdk_cdkn
2;18;2_pi_pik_domain_kinase
3;14;3_transcriptional_hormone_receptors_binding
4;13;4_growth_receptor_igf_erbb
5;13;5_histone_methylation_methyltransferase_trimethylation
6;13;6_dna_repair_replication_complex
7;12;7_cell_catenin_summary_see
8;11;8_il_entry_rel_toll
9;8;9_virus_ras_sarcoma_transforming
10;8;10_chromatin_remodeling_swi_snf
11;7;11_mtnd_wallace_isocitrate_mitochondrial
12;6;12_hgf_fgf_human_alk
13;5;13_recql_coli_helicase_msh
14;5;14_rab_gtp_proteins_ras
15;5;15_nfe_ubiquitin_ligase_bzip
16;5;16_nfkb_card_kappa_entry
17;4;17_fancd_fa_complementation_anemia
18;4;18_notch_dll_pass_jag
19;4;19_sf_snrnp_pre_af
20;4;20_bcl_mll_pdgfra_fusion
