Topic;Count;Name
-1;60;-1_entry_brca_protein_gene
0;31;0_cdna_protein_amino_kb
1;26;1_kinase_entry_ubiquitin_card
2;15;2_ercc_repair_dna_excision
3;11;3_hgf_tyrosine_kinase_receptor
4;11;4_notch_erbb_entry_growth
5;9;5_runx_gene_drosophila_runt
6;9;6_collagen_cell_vii_ajs
7;9;7_chromatin_remodeling_myc_swi
8;8;8_ntrk_csf_neurotrophins_neurotrophic
9;7;9_androgen_receptor_ar_retinoic
10;7;10_mtnd_hsp_mitochondrial_ec
11;7;11_histone_methyltransferase_lys_trimethylation
12;6;12_pms_crm_polymerase_yeast
13;6;13_rna_prime_sf_exonucleolytic
14;6;14_signaling_entry_tcl_proglucagon
15;6;15_pi_pik_inositol_phosphoinositide
16;6;16_ptpases_sh_phosphatase_enzymes
17;5;17_catenin_wnt_apc_beta
18;5;18_ras_gtp_proteins_guanine
19;4;19_stag_cohesin_smc_cohesion
20;4;20_methylation_mbd_patterns_mammalian
21;4;21_insulin_igf_receptor_beta
