Topic;Count;Name
-1;31;-1_entry_protein_binding_alpha
0;16;0_cdna_amino_protein_human
1;14;1_dna_crm_human_gene
2;12;2_transcriptional_factors_gata_transcription
3;11;3_gene_kb_bcl_mll
4;10;4_receptor_entry_receptors_il
5;8;5_cell_ajs_summary_epithelial
6;8;6_ubiquitin_ligase_complex_brca
7;8;7_histone_methylation_methyltransferase_lys
8;6;8_jak_torc_kinase_microtubules
9;5;9_ptpases_domain_sh_pez
10;5;10_steroid_esr_progesterone_prb
11;5;11_nfe_swi_remodeling_snf
12;4;12_threonine_serine_gsk_energy
13;4;13_pik_kinase_subunit_pkb
