Topic;Count;Name
-1;64;-1_protein_entry_gene_human
0;15;0_ntrk_entry_receptor_see
1;14;1_rna_remodeling_prime_chromatin
2;13;2_histone_methylation_methyltransferase_summary
3;10;3_pik_pi_ptpases_sh
4;10;4_binding_fbp_cdna_gata
5;9;5_dna_repair_replication_pold
6;7;6_bcr_gene_mll_leukemia
7;6;7_ubiquitin_ligase_degradation_activity
8;6;8_hgf_egfl_lung_mouse
9;6;9_catenin_ajs_beta_wnt
10;6;10_jak_kinase_serine_janus
11;5;11_brca_brip_helicase_checkpoint
12;5;12_card_entry_apoptosis_nod
13;5;13_erbb_receptor_tyrosine_entry
14;4;14_androgen_sox_syndrome_insensitivity
15;4;15_dna_pk_prkdc_ccnk
16;4;16_notch_dll_pass_jag
17;3;17_corepressor_retinoic_hormone_thyroid
18;3;18_rad_hr_recombination_yeast
19;3;19_hematopoietic_finger_zinc_punwani
20;3;20_pax_prex_atrx_muscle
