Topic;Count;Name
-1;38;-1_entry_runx_dna_traf
0;116;0_human_protein_amino_cdna
1;20;1_pi_pik_subunit_phosphatase
2;18;2_methylation_histone_methyltransferase_prc
3;13;3_ets_transcriptional_repressor_domain
4;13;4_nup_ubiquitin_ligase_nuclear
5;13;5_ercc_repair_dna_excision
6;13;6_kinase_mapk_erk_signaling
7;12;7_ras_gtp_pak_gli
8;11;8_hormone_receptor_receptors_nuclear
9;11;9_notch_entry_signaling_il
10;10;10_rna_sf_pre_af
11;9;11_remodeling_chromatin_swi_smarca
12;9;12_mtnd_mitochondrial_ec_complex
13;7;13_card_cdkn_ccnd_cycle
14;6;14_cell_ajs_adhesion_adherens
15;6;15_dna_damage_brca_checkpoint
16;6;16_dyneins_axonemal_dynein_microtubule
17;6;17_brca_cancer_breast_muc
18;6;18_transcriptional_histone_repression_repressor
19;6;19_ntrk_neurotrophins_ntf_neurotrophic
20;5;20_eph_ptks_receptor_receptors
21;5;21_gna_gnas_rs_af
22;4;22_torc_mtor_rictor_frap
23;4;23_tfiid_transcription_tata_tfiib
