Topic;Count;Name
-1;41;-1_entry_protein_lats_mad
0;24;0_transcription_runx_transcriptional_repressor
1;15;1_gata_protein_amino_analysis
2;14;2_beta_erbb_growth_receptor
3;12;3_hgf_human_habp_kinase
4;11;4_methylation_histone_methyltransferase_lys
5;11;5_chromatin_remodeling_swi_snf
6;9;6_il_lamp_amino_glutamate
7;8;7_ptpases_phosphatase_sh_enzymes
8;7;8_ubiquitin_ligase_bap_tnf
9;7;9_pik_pi_kinase_pkb
10;7;10_ras_gene_pdgfra_kb
11;7;11_jak_ret_tyrosine_kinase
12;6;12_cdkn_mdm_kinase_dna
13;5;13_cell_ajs_adherens_spectrin
14;5;14_notch_dll_entry_jag
15;5;15_dna_ercc_repair_endonuclease
16;5;16_myc_max_cell_npm
17;5;17_cohesin_sister_cohesion_smc
18;4;18_rad_repair_damage_msh
19;4;19_rna_prime_initiation_exonucleolytic
20;3;20_mll_bcr_tsc_leukemias
