Topic;Count;Name
-1;35;-1_protein_entry_gene_irs
0;28;0_entry_kinase_protein_kappa
1;20;1_human_protein_kb_gene
2;17;2_dna_repair_recql_replication
3;11;3_histone_methylation_methyltransferase_arginine
4;10;4_cell_kilon_ajs_summary
5;10;5_pi_pik_ptpases_kinase
6;9;6_hgf_receptor_tyrosine_factor
7;6;7_sarcoma_virus_ret_gene
8;4;8_runx_runt_gene_role
9;4;9_remodeling_activation_transcriptional_chromatin
10;4;10_igf_insulin_receptor_irr
11;4;11_gna_gnas_rs_af
12;4;12_androgen_ar_progesterone_receptor
13;4;13_smad_tgfb_signaling_bmp
14;4;14_sf_pre_snrnp_af
15;4;15_notch_dll_jag_entry
16;3;16_gtbp_mismatch_devoid_binding
