Topic;Count;Name
-1;58;-1_entry_cell_receptor_tyrosine
0;42;0_protein_human_amino_cdna
1;19;1_runx_entry_transcription_transcriptional
2;18;2_catenin_beta_axin_cell
3;12;3_methylation_histone_methyltransferase_lys
4;10;4_ntrk_receptor_csf_see
5;10;5_hgf_receptor_tyrosine_sequence
6;10;6_dna_ercc_repair_polymerase
7;9;7_remodeling_chromatin_snf_swi
8;9;8_gata_zinc_cells_finger
9;8;9_pik_pi_subunit_kinase
10;7;10_kappa_card_nfkb_nf
11;7;11_pre_sf_snrnp_af
12;7;12_igf_receptor_beta_growth
13;6;13_brca_bard_brip_helicase
14;6;14_nfe_isocitrate_ppars_ec
15;5;15_fa_fancd_complementation_winter
16;5;16_notch_dll_jag_pass
17;5;17_cdkn_dna_cyclin_prkdc
18;4;18_ptpases_domain_ptk_sh
19;4;19_xiap_nod_breast_hiap
20;4;20_ras_sarcoma_transforming_virus
21;4;21_il_rel_th_nfkb
22;3;22_threonine_serine_kinases_cheng
