feature;shap_value;Hugo_Symbol;title;status;description;description_clean;topic
IDH1_SNP;0.060143796085051;IDH1;"ISOCITRATE DEHYDROGENASE 1; IDH1";live;IDH1 is a dimeric cytosolic NADP-dependent isocitrate dehydrogenase ({EC 1.1.1.42}) that catalyzes decarboxylation of isocitrate into alpha-ketoglutarate (Nekrutenko et al., 1998).;idh dimeric cytosolic nadp dependent isocitrate dehydrogenase ec catalyzes decarboxylation isocitrate alpha ketoglutarate nekrutenko;12
TP53_SNP;0.0464278447304749;TP53;"TUMOR PROTEIN p53; TP53";live;"The transcription factor p53 responds to diverse cellular stresses to regulate target genes that induce cell cycle arrest, apoptosis, senescence, DNA repair, or changes in metabolism. In addition, p53 appears to induce apoptosis through nontranscriptional cytoplasmic processes. In unstressed cells, p53 is kept inactive essentially through the actions of the ubiquitin ligase MDM2 (<a href=""http://omim.org/entry/164785"">164785</a>), which inhibits p53 transcriptional activity and ubiquitinates p53 to promote its degradation. Numerous posttranslational modifications modulate p53 activity, most notably phosphorylation and acetylation. Several less abundant p53 isoforms also modulate p53 activity. Activity of p53 is ubiquitously lost in human cancer either by mutation of the p53 gene itself or by loss of cell signaling upstream or downstream of p53 (Toledo and Wahl, 2006; Bourdon, 2007; Vousden and Lane, 2007).";transcription factor p responds diverse cellular stresses regulate target genes induce cell cycle arrest apoptosis senescence dna repair changes metabolism addition p appears induce apoptosis nontranscriptional cytoplasmic processes unstressed cells p kept inactive essentially actions ubiquitin ligase mdm entry inhibits p transcriptional activity ubiquitinates p promote degradation numerous posttranslational modifications modulate p activity notably phosphorylation acetylation several less abundant p isoforms also modulate p activity activity p ubiquitously lost human cancer either mutation p gene loss cell signaling upstream downstream p toledo wahl bourdon vousden lane;10
KRAS_SNP;0.0378445032364805;KRAS;"KRAS PROTOONCOGENE, GTPase; KRAS";live;"The KRAS gene encodes the human cellular homolog of a transforming gene isolated from the Kirsten rat sarcoma virus. The RAS proteins are GDP/GTP-binding proteins that act as intracellular signal transducers. The most well-studied members of the RAS (derived from 'RAt Sarcoma' virus) gene family include KRAS, HRAS (<a href=""http://omim.org/entry/190020"">190020</a>), and NRAS (<a href=""http://omim.org/entry/164790"">164790</a>). These genes encode immunologically related proteins with a molecular mass of 21 kD and are homologs of rodent sarcoma virus genes that have transforming abilities. While these wildtype cellular proteins in humans play a vital role in normal tissue signaling, including proliferation, differentiation, and senescence, mutated genes are potent oncogenes that play a role in many human cancers (Weinberg, 1982; Kranenburg, 2005).";kras gene encodes human cellular homolog transforming gene isolated kirsten rat sarcoma virus ras proteins gdp gtp binding proteins act intracellular signal transducers well studied members ras derived rat sarcoma virus gene family include kras hras entry nras entry genes encode immunologically related proteins molecular mass kd homologs rodent sarcoma virus genes transforming abilities wildtype cellular proteins humans play vital role normal tissue signaling including proliferation differentiation senescence mutated genes potent oncogenes play role many human cancers weinberg kranenburg;0
TERT_SNP;0.0313250454340241;TERT;"TELOMERASE REVERSE TRANSCRIPTASE; TERT";live;Human telomeres consist of many kilobases of (TTAGGG)n together with various associated proteins. Small amounts of these terminal sequences are lost from the tips of the chromosomes each S phase because of incomplete DNA replication, but de novo addition of TTAGGG repeats by the enzyme telomerase compensates for this loss. Many human cells progressively lose terminal sequence with cell division, a loss that correlates with the apparent absence of telomerase in these cells (Kipling, 1995).;human telomeres consist many kilobases ttaggg n together various associated proteins small amounts terminal sequences lost tips chromosomes phase incomplete dna replication de novo addition ttaggg repeats enzyme telomerase compensates loss many human cells progressively lose terminal sequence cell division loss correlates apparent absence telomerase cells kipling;0
BRAF_SNP;0.0250712021223415;BRAF;"B-RAF PROTOONCOGENE, SERINE/THREONINE KINASE; BRAF";live;"Using an oligomer unique to the BRAF kinase domain, Sithanandam et al. (1990) cloned full-length BRAF from a testis cDNA library. The deduced 651-amino acid protein has a calculated molecular mass of 72.5 kD. It contains all 3 conserved regions of RAF protein kinases: a putative zinc finger region, a serine/threonine-rich region, and a C-terminal kinase domain, which includes a putative ATP-binding site and a catalytic lysine. In addition, the N terminus of BRAF is serine-rich, and it has a consensus CDC2 (CDK1; <a href=""http://omim.org/entry/116940"">116940</a>) phosphorylation motif. Northern blot analysis detected transcripts of 10 and 13 kb in cerebrum, fetal brain, and placenta and transcripts of 2.6 and 4.5 kb in testis. Testis also showed lower expression of the 10- and 13-kb transcripts.

Eychene et al. (1992) stated that the BRAF gene is the human homolog of the avian c-Rmil protooncogene encoding a 94-kD serine/threonine kinase detected in avian cells. This protein contains amino-terminal sequences not found in other proteins of the mil/raf gene family. These sequences are encoded by 3 exons in the avian genome. Eychene et al. (1992) reported that these 3 exons are conserved in the human BRAF gene and that they encode an amino acid sequence similar to that of the avian gene.";using oligomer unique braf kinase domain sithanandam cloned full length braf testis cdna library deduced amino acid protein calculated molecular mass kd contains conserved regions raf protein kinases putative zinc finger region serine threonine rich region c terminal kinase domain includes putative atp binding site catalytic lysine addition n terminus braf serine rich consensus cdc cdk entry phosphorylation motif northern blot analysis detected transcripts kb cerebrum fetal brain placenta transcripts kb testis testis also showed lower expression kb transcripts eychene stated braf gene human homolog avian c rmil protooncogene encoding kd serine threonine kinase detected avian cells protein contains amino terminal sequences found proteins mil raf gene family sequences encoded exons avian genome eychene reported exons conserved human braf gene encode amino acid sequence similar avian gene;0
ROS1_SNP;0.0228932458059017;ROS1;"ROS PROTOONCOGENE 1, RECEPTOR TYROSINE KINASE; ROS1";live;ROS1, the human homolog of the transforming gene v-ros of the avian sarcoma virus UR2, encodes a protein tyrosine kinase receptor.;ros human homolog transforming gene v ros avian sarcoma virus ur encodes protein tyrosine kinase receptor;0
NRAS_SNP;0.0223739566671732;NRAS;"NRAS PROTOONCOGENE, GTPase; NRAS";live;Marshall et al. (1982) identified a gene with transforming activity in 2 different human sarcoma cell lines, a fibrosarcoma (HT1080) and an embryonal rhabdomyosarcoma (RD). Hall et al. (1983) identified this gene as a member of the RAS gene family and designated it N-RAS 'after consultation with Wigler and with Weinberg.' They found that NRAS was also activated in a promyelocytic leukemia cell line (HL60) and a neuroblastoma cell line (SK-H-SH). NRAS was present at the same levels in normal fibroblasts and tumor cells. Hall and Brown (1985) identified 2 main NRAS transcripts of 4.3 kb and 2 kb.;marshall identified gene transforming activity different human sarcoma cell lines fibrosarcoma ht embryonal rhabdomyosarcoma rd hall identified gene member ras gene family designated n ras consultation wigler weinberg found nras also activated promyelocytic leukemia cell line hl neuroblastoma cell line sk h sh nras present levels normal fibroblasts tumor cells hall brown identified main nras transcripts kb kb;0
MGA_SNP;0.021083172619926;MGA;"MAX DIMERIZATION PROTEIN MGA; MGA";live;"MGA is a transcriptional repressor or activator depending upon the presence of its binding partner, MAX (<a href=""http://omim.org/entry/154950"">154950</a>) (Hurlin et al., 1999).";mga transcriptional repressor activator depending upon presence binding partner max entry hurlin;7
NF1_SNP;0.0194614995374262;NF1;"NEUROFIBROMIN 1; NF1";live;"The NF1 gene encodes neurofibromin, a cytoplasmic protein that is predominantly expressed in neurons, Schwann cells, oligodendrocytes, and leukocytes. It is a multidomain molecule with the capacity to regulate several intracellular processes, including the RAS (see <a href=""http://omim.org/entry/190020"">190020</a>)-cyclic AMP pathway, the ERK (<a href=""http://omim.org/entry/600997"">600997</a>)/MAP (see <a href=""http://omim.org/entry/600178"">600178</a>) kinase cascade, adenylyl cyclase, and cytoskeletal assembly (summary by Trovo-Marqui and Tajara, 2006).";nf gene encodes neurofibromin cytoplasmic protein predominantly expressed neurons schwann cells oligodendrocytes leukocytes multidomain molecule capacity regulate several intracellular processes including ras see entry cyclic amp pathway erk entry map see entry kinase cascade adenylyl cyclase cytoskeletal assembly summary trovo marqui tajara;4
FAT1_SNP;0.0192442607038605;FAT1;"FAT ATYPICAL CADHERIN 1; FAT1";live;The FAT1 gene encodes a member of a small family of vertebrate cadherin-like genes whose gene products play a role in cell migration, lamellipodia dynamics, cell polarity, and cell-cell adhesions (summary by Gee et al., 2016).;fat gene encodes member small family vertebrate cadherin like genes whose gene products play role cell migration lamellipodia dynamics cell polarity cell cell adhesions summary gee;6
