Topic;Count;Name
-1;28;-1_traf_entry_gene_protein
0;46;0_protein_gene_human_amino
1;11;1_dna_repair_sister_cohesin
2;9;2_stat_cells_transcription_gata
3;8;3_kinase_jak_serine_threonine
4;8;4_ntrk_entry_receptors_receptor
5;7;5_methylation_histone_methyltransferase_tet
6;7;6_cell_ccnd_ajs_epithelial
7;6;7_transcriptional_repressor_ctcf_depending
8;6;8_pi_inositol_pik_ks
9;6;9_nfe_entry_ubiquitin_tnf
10;5;10_apoptosis_activity_cellular_kat
11;5;11_apc_pathway_entry_wnt
12;5;12_mtnd_wallace_complex_chomyn
13;4;13_recql_coli_helicase_msh
14;4;14_gap_ras_rat_belongs
15;4;15_ptks_eph_tyrosine_receptors
16;4;16_remodeling_chromatin_spen_transcriptional
