Topic;Count;Name
-1;48;-1_gene_entry_dna_protein
0;20;0_receptor_growth_tyrosine_factor
1;17;1_pi_pik_kinase_subunit
2;11;2_ubiquitin_ligase_degradation_entry
3;9;3_hormone_receptor_receptors_nuclear
4;9;4_slit_brca_gene_protein
5;8;5_methylation_hdac_histone_transcription
6;8;6_raptor_cdna_amino_pms
7;8;7_chromatin_remodeling_hnf_nuclear
8;7;8_mll_pdgfra_leukemia_fusion
9;6;9_cdkn_dna_cycle_arrest
10;6;10_cohesin_sister_cohesion_smc
11;6;11_sf_af_splicing_pre
12;5;12_mitochondrial_isocitrate_ec_succinate
13;5;13_tap_dock_entry_amer
14;5;14_ras_gtp_proteins_guanine
15;5;15_ajs_cell_epithelial_adherens
16;5;16_ebf_analysis_expression_cd
17;4;17_ras_sarcoma_transforming_virus
18;4;18_notch_dll_jag_pass
19;3;19_ercc_repair_dna_excision
