Topic;Count;Name
-1;50;-1_protein_cell_entry_dna
0;13;0_histone_methylation_methyltransferase_lys
1;11;1_inositol_pi_subunit_position
2;11;2_kinase_tyrosine_map_cdna
3;10;3_recql_wrn_tshr_trypsinogen
4;10;4_kappa_mtnd_nfkb_entry
5;9;5_repair_dna_ercc_endonuclease
6;9;6_growth_igf_heregulin_somatomedin
7;9;7_chromatin_remodeling_dicer_snf
8;8;8_ntrk_ntf_neurotrophins_neurotrophic
9;8;9_gata_zinc_phf_enhancer
10;8;10_mll_leukemia_pdgfra_fusion
11;7;11_mapk_torc_apc_entry
12;7;12_brca_prex_raf_expression
13;7;13_notch_dll_receptors_interferon
14;5;14_rad_yeast_mouse_baf
15;5;15_hormone_steroid_androgen_receptors
16;4;16_box_forkhead_fox_organogenesis
17;4;17_sf_pre_af_snrnp
18;4;18_ajs_cell_adherens_spectrin
19;4;19_phosphatase_ppp_subunit_phosphatases
20;4;20_ras_sarcoma_transforming_nras
21;4;21_jak_janus_cytokine_kinases
