feature;shap_value;Hugo_Symbol;title;status;description;description_clean;topic
TP53_SNP;0.129380631073199;TP53;"TUMOR PROTEIN p53; TP53";live;"The transcription factor p53 responds to diverse cellular stresses to regulate target genes that induce cell cycle arrest, apoptosis, senescence, DNA repair, or changes in metabolism. In addition, p53 appears to induce apoptosis through nontranscriptional cytoplasmic processes. In unstressed cells, p53 is kept inactive essentially through the actions of the ubiquitin ligase MDM2 (<a href=""http://omim.org/entry/164785"">164785</a>), which inhibits p53 transcriptional activity and ubiquitinates p53 to promote its degradation. Numerous posttranslational modifications modulate p53 activity, most notably phosphorylation and acetylation. Several less abundant p53 isoforms also modulate p53 activity. Activity of p53 is ubiquitously lost in human cancer either by mutation of the p53 gene itself or by loss of cell signaling upstream or downstream of p53 (Toledo and Wahl, 2006; Bourdon, 2007; Vousden and Lane, 2007).";transcription factor p responds diverse cellular stresses regulate target genes induce cell cycle arrest apoptosis senescence dna repair changes metabolism addition p appears induce apoptosis nontranscriptional cytoplasmic processes unstressed cells p kept inactive essentially actions ubiquitin ligase mdm entry inhibits p transcriptional activity ubiquitinates p promote degradation numerous posttranslational modifications modulate p activity notably phosphorylation acetylation several less abundant p isoforms also modulate p activity activity p ubiquitously lost human cancer either mutation p gene loss cell signaling upstream downstream p toledo wahl bourdon vousden lane;1
KRAS_SNP;0.0472946807475607;KRAS;"KRAS PROTOONCOGENE, GTPase; KRAS";live;"The KRAS gene encodes the human cellular homolog of a transforming gene isolated from the Kirsten rat sarcoma virus. The RAS proteins are GDP/GTP-binding proteins that act as intracellular signal transducers. The most well-studied members of the RAS (derived from 'RAt Sarcoma' virus) gene family include KRAS, HRAS (<a href=""http://omim.org/entry/190020"">190020</a>), and NRAS (<a href=""http://omim.org/entry/164790"">164790</a>). These genes encode immunologically related proteins with a molecular mass of 21 kD and are homologs of rodent sarcoma virus genes that have transforming abilities. While these wildtype cellular proteins in humans play a vital role in normal tissue signaling, including proliferation, differentiation, and senescence, mutated genes are potent oncogenes that play a role in many human cancers (Weinberg, 1982; Kranenburg, 2005).";kras gene encodes human cellular homolog transforming gene isolated kirsten rat sarcoma virus ras proteins gdp gtp binding proteins act intracellular signal transducers well studied members ras derived rat sarcoma virus gene family include kras hras entry nras entry genes encode immunologically related proteins molecular mass kd homologs rodent sarcoma virus genes transforming abilities wildtype cellular proteins humans play vital role normal tissue signaling including proliferation differentiation senescence mutated genes potent oncogenes play role many human cancers weinberg kranenburg;0
PIK3CA_SNP;0.0317215127796126;PIK3CA;"PHOSPHATIDYLINOSITOL 3-KINASE, CATALYTIC, ALPHA; PIK3CA";live;"Bovine phosphatidylinositol 3-kinase ({EC 2.7.1.137}) is composed of 85-kD (<a href=""http://omim.org/entry/171833"">171833</a>) and 110-kD subunits. The 85-kD subunit lacks PI3-kinase activity and acts as an adaptor, coupling the 110-kD subunit (p110) to activated protein tyrosine kinases. Hiles et al. (1992) found that the bovine cDNA for p110 predicts a 1,068-amino acid protein related to a protein which in S. cerevisiae is involved in the sorting of proteins to the vacuole.

Volinia et al. (1994) cloned the cDNA for the human p110 subunit (PIK3CA) and found that it encodes a protein 99% identical to the bovine p110 enzyme.

See also PIK3CG (<a href=""http://omim.org/entry/601232"">601232</a>) and PIK3CD (<a href=""http://omim.org/entry/602839"">602839</a>), the genes encoding the p110-gamma and p110-delta polypeptides, respectively.";bovine phosphatidylinositol kinase ec composed kd entry kd subunits kd subunit lacks pi kinase activity acts adaptor coupling kd subunit p activated protein tyrosine kinases hiles found bovine cdna p predicts amino acid protein related protein cerevisiae involved sorting proteins vacuole volinia cloned cdna human p subunit pik ca found encodes protein identical bovine p enzyme see also pik cg entry pik cd entry genes encoding p gamma p delta polypeptides respectively;-1
TSC1_SNP;0.022579476662668;TSC1;"TSC COMPLEX SUBUNIT 1; TSC1";live;"The TSC1 gene encodes hamartin, a protein that interacts with tuberin (TSC2; <a href=""http://omim.org/entry/191092"">191092</a>) to form a protein complex that inhibits signal transduction to the downstream effectors of the mammalian target of rapamycin (MTOR; <a href=""http://omim.org/entry/601231"">601231</a>) (Inoki et al., 2002).";tsc gene encodes hamartin protein interacts tuberin tsc entry form protein complex inhibits signal transduction downstream effectors mammalian target rapamycin mtor entry inoki;0
KMT2D_SNP;0.0204575526639754;KMT2D;"LYSINE-SPECIFIC METHYLTRANSFERASE 2D; KMT2D";live;"The SET domain is a motif characteristic of proteins such as human ALL1 (<a href=""http://omim.org/entry/159555"">159555</a>) and Drosophila 'trithorax' (trx) and is found at the C terminus of the 2 proteins. Using the ALL1 SET domain as a probe, Prasad et al. (1997) cloned a novel gene, KMT2D, which they designated ALR (ALL1-related gene). The gene encodes a 5,262-amino acid protein containing a SET domain, 5 PHD fingers, potential zinc fingers, and a long run of glutamines interrupted by hydrophobic residues (mostly leucine). They also detected an alternatively spliced form encoding 4,957 amino acids and lacking an N-terminal zinc finger and PHD finger. Analysis of ALR expression showed that its approximately 18-kb transcript is expressed, like ALL1, in most adult tissues, including a variety of hematopoietic cells, but not in liver. Whole-mount in situ hybridization of early mouse embryos indicated expression of a similar mouse gene in multiple tissues. Based on similarities in structure and expression pattern, Prasad et al. (1997) concluded that ALR is likely to play a role similar to those of ALL1 and trx.";set domain motif characteristic proteins human entry drosophila trithorax trx found c terminus proteins using set domain probe prasad cloned novel gene kmt designated alr related gene gene encodes amino acid protein containing set domain phd fingers potential zinc fingers long run glutamines interrupted hydrophobic residues mostly leucine also detected alternatively spliced form encoding amino acids lacking n terminal zinc finger phd finger analysis alr expression showed approximately kb transcript expressed like adult tissues including variety hematopoietic cells liver whole mount situ hybridization early mouse embryos indicated expression similar mouse gene multiple tissues based similarities structure expression pattern prasad concluded alr likely play role similar trx;0
TERT_SNP;0.0200975965098125;TERT;"TELOMERASE REVERSE TRANSCRIPTASE; TERT";live;Human telomeres consist of many kilobases of (TTAGGG)n together with various associated proteins. Small amounts of these terminal sequences are lost from the tips of the chromosomes each S phase because of incomplete DNA replication, but de novo addition of TTAGGG repeats by the enzyme telomerase compensates for this loss. Many human cells progressively lose terminal sequence with cell division, a loss that correlates with the apparent absence of telomerase in these cells (Kipling, 1995).;human telomeres consist many kilobases ttaggg n together various associated proteins small amounts terminal sequences lost tips chromosomes phase incomplete dna replication de novo addition ttaggg repeats enzyme telomerase compensates loss many human cells progressively lose terminal sequence cell division loss correlates apparent absence telomerase cells kipling;-1
BRAF_SNP;0.0191972576233963;BRAF;"B-RAF PROTOONCOGENE, SERINE/THREONINE KINASE; BRAF";live;"Using an oligomer unique to the BRAF kinase domain, Sithanandam et al. (1990) cloned full-length BRAF from a testis cDNA library. The deduced 651-amino acid protein has a calculated molecular mass of 72.5 kD. It contains all 3 conserved regions of RAF protein kinases: a putative zinc finger region, a serine/threonine-rich region, and a C-terminal kinase domain, which includes a putative ATP-binding site and a catalytic lysine. In addition, the N terminus of BRAF is serine-rich, and it has a consensus CDC2 (CDK1; <a href=""http://omim.org/entry/116940"">116940</a>) phosphorylation motif. Northern blot analysis detected transcripts of 10 and 13 kb in cerebrum, fetal brain, and placenta and transcripts of 2.6 and 4.5 kb in testis. Testis also showed lower expression of the 10- and 13-kb transcripts.

Eychene et al. (1992) stated that the BRAF gene is the human homolog of the avian c-Rmil protooncogene encoding a 94-kD serine/threonine kinase detected in avian cells. This protein contains amino-terminal sequences not found in other proteins of the mil/raf gene family. These sequences are encoded by 3 exons in the avian genome. Eychene et al. (1992) reported that these 3 exons are conserved in the human BRAF gene and that they encode an amino acid sequence similar to that of the avian gene.";using oligomer unique braf kinase domain sithanandam cloned full length braf testis cdna library deduced amino acid protein calculated molecular mass kd contains conserved regions raf protein kinases putative zinc finger region serine threonine rich region c terminal kinase domain includes putative atp binding site catalytic lysine addition n terminus braf serine rich consensus cdc cdk entry phosphorylation motif northern blot analysis detected transcripts kb cerebrum fetal brain placenta transcripts kb testis testis also showed lower expression kb transcripts eychene stated braf gene human homolog avian c rmil protooncogene encoding kd serine threonine kinase detected avian cells protein contains amino terminal sequences found proteins mil raf gene family sequences encoded exons avian genome eychene reported exons conserved human braf gene encode amino acid sequence similar avian gene;0
ATM_SNP;0.0100629743855917;ATM;"ATM SERINE/THREONINE KINASE; ATM";live;"The ATM protein is a member of the phosphatidylinositol 3-kinase (see <a href=""http://omim.org/entry/601232"">601232</a>) family of proteins that respond to DNA damage by phosphorylating key substrates involved in DNA repair and/or cell cycle control.";atm protein member phosphatidylinositol kinase see entry family proteins respond dna damage phosphorylating key substrates involved dna repair cell cycle control;1
TET2_SNP;0.0075850555944536;TET2;"TET METHYLCYTOSINE DIOXYGENASE 2; TET2";live;TET proteins, such as TET2, play key roles in the regulation of DNA-methylation status by oxidizing 5-methylcytosine (5mC) to generate 5-hydroxymethylcytosine (5hmC), which can both serve as a stable epigenetic mark and participate in active demethylation (Guallar et al., 2018).;tet proteins tet play key roles regulation dna methylation status oxidizing methylcytosine mc generate hydroxymethylcytosine hmc serve stable epigenetic mark participate active demethylation guallar;0
NF1_SNP;0.0075229565620479;NF1;"NEUROFIBROMIN 1; NF1";live;"The NF1 gene encodes neurofibromin, a cytoplasmic protein that is predominantly expressed in neurons, Schwann cells, oligodendrocytes, and leukocytes. It is a multidomain molecule with the capacity to regulate several intracellular processes, including the RAS (see <a href=""http://omim.org/entry/190020"">190020</a>)-cyclic AMP pathway, the ERK (<a href=""http://omim.org/entry/600997"">600997</a>)/MAP (see <a href=""http://omim.org/entry/600178"">600178</a>) kinase cascade, adenylyl cyclase, and cytoskeletal assembly (summary by Trovo-Marqui and Tajara, 2006).";nf gene encodes neurofibromin cytoplasmic protein predominantly expressed neurons schwann cells oligodendrocytes leukocytes multidomain molecule capacity regulate several intracellular processes including ras see entry cyclic amp pathway erk entry map see entry kinase cascade adenylyl cyclase cytoskeletal assembly summary trovo marqui tajara;-1
