Topic;Count;Name
-1;37;-1_entry_gene_receptor_protein
0;46;0_kinase_protein_entry_see
1;11;1_notch_cell_ajs_contact
2;10;2_sarcoma_gene_virus_yes
3;9;3_rna_mrna_sf_pre
4;9;4_histone_methylation_hdac_transcription
5;9;5_transcriptional_corepressor_hormone_nuclear
6;9;6_protein_amino_human_proteins
7;8;7_dna_replication_repair_pold
8;8;8_receptor_tyrosine_human_entry
9;7;9_remodeling_chromatin_swi_snf
10;5;10_recql_coli_msh_helicase
11;5;11_zinc_finger_summary_hematopoietic
12;4;12_runx_fancd_runt_drosophila
13;4;13_brca_prex_fas_sequence
14;3;14_erbb_receptor_entry_tyrosine
