feature;shap_value
LRP1B_SNP;0.07347242912444495
AGE_CONTACT;0.05630785727603214
PRIMARY_RACE;0.0559309744705533
TERT_SNP;0.03541255126975137
SPTA1_SNP;0.023206535636222464
KMT2B_SNP;0.018499538390557246
KMT2C_SNP;0.01789729903499989
TP53_SNP;0.01786003785336672
MIR4457_SNP;0.017481254276973338
SLIT2_SNP;0.01425350620984894
FAT1_SNP;0.01329849635260186
SPEN_SNP;0.01213477067793518
NF1_DEL;0.011498430010398176
GRIN2A_SNP;0.010420717003538926
ARID1A_SNP;0.010039594261579706
MAGI2_SNP;0.00902165468824062
CIC_SNP;0.008688112576062092
YAP1_SNP;0.0082438029713167
TSC2_SNP;0.007029738300493197
RANBP2_SNP;0.006585561050024548
BRCA2_SNP;0.006331566825625774
FAT3_SNP;0.006292681031249147
INPP4B_SNP;0.006268968940809128
ASXL2_SNP;0.006264912279519068
GNAS-AS1_SNP;0.006211266730863975
GPR124_SNP;0.005952024676113605
PREX2_SNP;0.005483394702413425
DOT1L_SNP;0.005358666389470545
FLCN_SNP;0.005115359029967427
RAD51C_SNP;0.005042767819368066
RB1_SNP;0.005002588666049883
Unknown_SNP;0.004847829555164542
SOX2_SNP;0.004770544301428736
TOP1_SNP;0.004757420421220235
COL7A1_SNP;0.0045789729341526655
KDM5A_SNP;0.004573721374800713
TP53_DEL;0.004471222449875164
PIK3CA_SNP;0.004355289585192852
NOTCH3_SNP;0.004272293817738324
KRAS_SNP;0.004270702631845859
ZFHX3_DEL;0.003935694695398717
MUTYH_SNP;0.0038897298332694623
CDKN2A_INS;0.003759940796371918
EGFR_SNP;0.0037559288063353682
NCOR1_SNP;0.003619590701221624
MT-ND5_SNP;0.0034824426433178526
ABL2_SNP;0.003442700394474035
HIST3H3_SNP;0.0034409810035833906
ESR1_SNP;0.003420835195406668
KMT2D_SNP;0.003356841944733436
IKBKE_SNP;0.0033216168179105634
CD274_SNP;0.0032834723495449693
CSF1R_SNP;0.003228963739303296
CHD4_SNP;0.0032082859430860823
ATR_SNP;0.003138110522706078
POLD1_SNP;0.003030265356044063
NAV3_SNP;0.0030035903068910998
PTPRT_SNP;0.0028328874860809204
KDM5A_DEL;0.002740116168053743
SYNE1_SNP;0.0027179949678384913
ZFHX3_SNP;0.0026957672310481936
PTPRK_SNP;0.002575750135897281
TET1_ONP;0.0025664346307303115
MED12_SNP;0.002550845057539546
PTEN_INS;0.0024958184016486804
PIK3CG_SNP;0.0024949657046079016
NIPBL_SNP;0.0024680875782454553
ANKRD26_DEL;0.0023830327449117067
CCND2_SNP;0.0023501940620961324
SMARCA4_INS;0.0022489433074652596
TP53_INS;0.002234021852720972
ALOX12B_SNP;0.0022122739664146643
KEL_SNP;0.0021960803273672383
ICOSLG_SNP;0.00217372551143424
PGBD5_SNP;0.0021637252072487863
NUP93_SNP;0.002132405669615732
POLE_SNP;0.0020933279626022673
MAX_DEL;0.0020916856343633316
ETS1_SNP;0.0020400040899670128
KMT2B_DEL;0.0020368860837946274
PRKDC_SNP;0.001962343746921645
PTEN_SNP;0.0019144998048496171
LEF1_SNP;0.001816049545533392
LATS2_SNP;0.0018123733518120536
EPOR_SNP;0.0017845139040822574
SMAD4_DEL;0.0017822598159842624
ETAA1_SNP;0.0017725462413177302
AJUBA_SNP;0.0017482026578539453
REST_SNP;0.0017415950218516714
PIK3CA_DEL;0.0017392150546057074
ZNF703_SNP;0.0016980608042772801
GAB1_SNP;0.0016878696446369426
ERCC2_DEL;0.0016834116371737585
PTPN1_SNP;0.0016774188676534612
ARID1A_DEL;0.0016714352041433608
RAD50_SNP;0.001653126386226548
GRM3_SNP;0.0016462927841951046
ZNRF3_SNP;0.0016274146045908884
NF1_SNP;0.0016235792596377252
IRF2_SNP;0.0016068937136150575
EP300_SNP;0.0015543879323093607
ARID2_INS;0.0015476708536306713
TRAF7_SNP;0.0015212498863038234
AXL_DNP;0.0014678428052548145
ZNF703_INS;0.0014629504720397016
HSP90AA1_SNP;0.0014236744835088681
IFNGR1_DEL;0.0014152657596135222
IRS2_DEL;0.0013982774784800367
IKZF2_SNP;0.0013931270121413867
FANCE_SNP;0.0013911776812944058
IGF2R_SNP;0.0013853524808005435
ANKRD26_SNP;0.0013730630783222524
CRKL_SNP;0.0013653426999993277
IRS1_SNP;0.0013575529693976814
PPP2R1A_SNP;0.0013457358866171094
CNOT3_SNP;0.0013438354816018103
PLCB4_SNP;0.0013425112696512915
MLLT1_SNP;0.0012957509702477001
DNMT1_SNP;0.0012956370293901445
ESR2_SNP;0.0012946452582393026
ZBTB20_SNP;0.0012929355205755194
ARID1B_SNP;0.0012914730149545574
COL2A1_SNP;0.0012558301584137653
POT1_SNP;0.0012165736792412278
FLT4_SNP;0.0012144623374800122
MYC_SNP;0.0012060440194384412
SMARCA2_SNP;0.0011467716510896976
PGR_SNP;0.0010915914318920643
TRAF2_DEL;0.0010806591601976096
MCL1_DEL;0.001069713196171053
CDKN2A_SNP;0.0010688504484824485
RNF43_INS;0.0010358104565445908
ATM_DEL;0.0010281454952684142
NTRK1_INS;0.0010051614708842605
GNA14_SNP;0.0010009369308107625
RPS6KB2_SNP;0.0009989837927604649
ELF3_SNP;0.0009906978004544443
EPHB1_SNP;0.000962748325628597
IKZF1_SNP;0.0009625213724648207
PRKCH_SNP;0.0009587919465384796
JAK1_DEL;0.0009432192616255392
NR4A3_SNP;0.0009326517291773716
MAP3K14_SNP;0.0009314027109464542
ERBB3_DEL;0.0009196712183942513
LARP4B_SNP;0.0008999884777529664
APC_INS;0.0008924013256811272
TOP2A_SNP;0.0008843307233357401
HEY1_DEL;0.0008841032717836085
AMER1_SNP;0.0008786351327501429
HIST1H1C_DEL;0.000870483337737361
TET2_SNP;0.0008666776616728532
GATA3_SNP;0.0008652747748712177
EGFR_INS;0.0008617705163233126
FRK_SNP;0.0008593292377910035
USP7_SNP;0.0008535069978155872
CBL_DNP;0.0008534819451347404
SH2B3_SNP;0.0008517218899477643
CASP8_SNP;0.0008509588539611176
LZTR1_DEL;0.0008392504350362798
FANCI_DEL;0.0008383563921826919
MAP3K9_SNP;0.0008356227557129411
SMO_SNP;0.0008341565761826897
IPMK_SNP;0.0008293664029416822
ARHGAP35_DEL;0.0008275740250799287
APC_SNP;0.0008187317813175878
NADK_SNP;0.0008157904780752141
NF2_INS;0.0008110451855292325
IGF1R_SNP;0.0008070331641413733
FOSB_SNP;0.0007942084264347247
ASH2L_SNP;0.0007937279464746689
GNA11_SNP;0.0007910395207936598
EED_DEL;0.00078978251132502
HTRA1_SNP;0.0007885725044039696
MEF2BNB-MEF2B_DEL;0.0007856751427373363
KMT2C_DEL;0.0007842069325921739
TAF1_SNP;0.0007821124149439639
GLI1_INS;0.0007807363561867131
MGA_SNP;0.0007721957422163998
SDHA_DEL;0.0007577750262690468
EPHA7_SNP;0.0007577296880526427
PRPF8_SNP;0.0007523296425110412
TGFBR2_DEL;0.0007518398168473042
BCL2_ONP;0.0007489918615960959
APLNR_SNP;0.0007296685502175296
FLT1_SNP;0.0007180118413447366
MAP2K4_SNP;0.0007151579804012245
SOCS1_DEL;0.0007124476199296378
BRAF_SNP;0.0007066377172694108
DDX31_SNP;0.0007057125303351795
CDC73_SNP;0.0007054474148974722
KLHL6_SNP;0.0007013803982787891
MAP3K4_SNP;0.0006963436888605057
FUS_SNP;0.0006938781532655083
BCORL1_DNP;0.0006919760000724672
TP63_SNP;0.0006899978499434178
STAT6_SNP;0.0006849903567305436
FGF23_SNP;0.0006846352911187841
ERBB2_SNP;0.0006845785061995272
ZNF703_DEL;0.0006834361324156131
PAX7_SNP;0.000680719844401408
FGF14_SNP;0.0006801987657886922
C11orf30_SNP;0.0006740715232036026
SLFN11_SNP;0.0006725003516905281
HIST1H3B_DEL;0.0006687619929290416
FH_SNP;0.0006677506765829524
PDGFRA_SNP;0.0006662991529037908
XRCC1_DEL;0.0006658491727211154
ATP8B1_SNP;0.0006470204492271427
ALK_SNP;0.0006366852476619153
ERBB3_SNP;0.0006333955375303187
MEF2BNB-MEF2B_SNP;0.0006308560313595193
SNCAIP_SNP;0.0006307250810245562
ARID1A_INS;0.0006304725947163602
H3F3C_SNP;0.000628945481796396
BCR_SNP;0.0006271366492490971
PPM1D_DEL;0.0006141791755914589
