feature;shap_value
KRAS_SNP;0.22551493164112385
NF1_SNP;0.1324701114312347
TERT_SNP;0.10924047994617885
PTEN_SNP;0.05076711348297459
AGE_CONTACT;0.040546377976727645
APC_SNP;0.030966627576696572
BRAF_SNP;0.023025140733550484
PTEN_DEL;0.018928137985050383
PTPN11_SNP;0.018902389292810445
NF1_INS;0.016387830041351074
FGFR1_SNP;0.014491800095520023
RASA1_SNP;0.013678217900854788
CTNNB1_SNP;0.013194505990120243
PIK3CG_SNP;0.013118326584904649
PTPRD_SNP;0.012758764101633327
PRIMARY_RACE;0.01238825416801014
NRAS_SNP;0.011093826260098435
MSH2_SNP;0.01050692257953162
H3F3A_SNP;0.010324079215024689
ATRX_DEL;0.010121110450740689
PIK3R1_SNP;0.0092920189972164
PIK3R1_DEL;0.009101732385561324
TP53_SNP;0.008459645565999702
TP53_DEL;0.00794290847029239
EIF1AX_DEL;0.007127160703556968
PTEN_INS;0.006921640888204719
FGFR3_SNP;0.006568436200288489
KMT2D_SNP;0.00569702900079542
KDM5C_SNP;0.005223071456406639
BRCA1_DEL;0.0050953924689479185
ARAF_SNP;0.004985046745669199
RB1_DEL;0.004555633299464593
MET_SNP;0.004442144108589289
BCOR_SNP;0.0044102525707081655
IKZF1_SNP;0.004264220419381616
NSD1_SNP;0.0040486596236138876
NF2_DEL;0.003962081186853567
CARD11_SNP;0.0038828978138460654
KDM6A_SNP;0.0036886147196828712
HNF1A_SNP;0.0036648233640704034
PTCH1_SNP;0.0035742751905226845
CIC_SNP;0.0035070583288278087
SYNE1_SNP;0.0034417014035041473
EGFR_SNP;0.003385244850562764
LZTR1_SNP;0.003302458505922025
ASXL1_SNP;0.0032553330747622546
NTRK2_SNP;0.0032461556689678166
APC_DEL;0.0031744929843630846
RASA1_DEL;0.003018214467303477
DIS3L2_SNP;0.0029866795262121822
DOT1L_SNP;0.0029298011170851663
ARID1A_SNP;0.00277653939917569
CXCR4_SNP;0.002610581347176679
BRCA2_SNP;0.0026074615725324747
KMT2C_DEL;0.002592512360040587
ARID2_SNP;0.002592096473585888
CBL_SNP;0.0025753737344756784
JAK1_SNP;0.0025447771362286115
COL7A1_SNP;0.0025438427606802633
PAK7_SNP;0.0024372233050427086
IDH1_SNP;0.0023502671780798534
POLE_SNP;0.0023043834931806674
BCOR_DEL;0.002277952346744084
JAK3_SNP;0.0022721383886701737
NUF2_SNP;0.0021523082951526978
EPHA3_SNP;0.0021279270468740623
RASA1_INS;0.002108697693369145
STK11_DEL;0.0021085357823479372
DMD_SNP;0.0020888496896135245
EGFR_DEL;0.002067503334532494
ZNF217_SNP;0.002061807553300936
BLM_SNP;0.0020154660253283076
MSH2_DEL;0.0020014645297424163
PRKCI_SNP;0.0019787824649427866
KMT2B_SNP;0.0019494807311532223
JAK1_DEL;0.0019243209652960933
TET1_SNP;0.0018671430946051314
SUFU_SNP;0.0017787424189870252
MSH6_DEL;0.0017585043780979153
FAT1_SNP;0.0017458969459843948
MED12_SNP;0.001736425043663528
FGFR4_SNP;0.001730289164974446
LRP1B_SNP;0.0016992465269192619
MTOR_DEL;0.0016788574878638248
STK11_SNP;0.0016717429583229762
PIK3R1_INS;0.001653472449054977
MDM4_SNP;0.0016358645872661072
