feature;shap_value
AGE_CONTACT;0.14748157397775521
KMT2D_SNP;0.05070823413809116
PRIMARY_RACE;0.05017030650321662
KRAS_SNP;0.046713087725370174
ARID1B_SNP;0.02247275211739824
ARID2_SNP;0.02066918383169403
TP53_SNP;0.018664856239853027
TERT_SNP;0.013905130991173981
PIK3CA_SNP;0.012833683991931862
AXL_SNP;0.012231196788744719
ZFHX3_SNP;0.011785487570668801
FAT1_SNP;0.011207182494305008
MSH2_SNP;0.010411413856330817
EGFR_DEL;0.010287699863741853
NF1_SNP;0.010119758947259479
ATM_SNP;0.010112181511548283
ROS1_SNP;0.009013212111766178
RPTOR_SNP;0.008972454864392675
NF2_DEL;0.008068064943662962
RB1_SNP;0.007742337687704695
PTPRD_SNP;0.007557446431638671
FGFR4_SNP;0.007009643644670154
SETD2_SNP;0.006976643286428436
NOTCH1_SNP;0.0067975036995123386
MTOR_SNP;0.006782843877509283
IRS2_SNP;0.006302146160120851
BRAF_SNP;0.005887702883647246
APC_DEL;0.005851516474955543
BLM_SNP;0.00582550537747761
ZNF217_SNP;0.005824547691229447
KEAP1_SNP;0.005797026244741714
POLE_SNP;0.0057771239380731785
RECQL4_SNP;0.0054229451502474406
ARID1A_SNP;0.005372084783412261
EP300_SNP;0.005346942535813844
GLI2_SNP;0.005105138060059116
SMARCA4_SNP;0.005103512772187247
EIF1AX_DEL;0.005043427918404402
PALB2_SNP;0.004944531072467381
TSC2_SNP;0.004579750081207689
SOS1_SNP;0.004465576740648285
SPEN_SNP;0.004405794536350177
COL7A1_SNP;0.004342439124683001
PMS2_SNP;0.004136271636116914
GNAS-AS1_SNP;0.004115787395991655
SETD2_DEL;0.004058472114559985
MT-ND5_SNP;0.003729469530466593
ARAF_SNP;0.0035104271018353028
BCORL1_SNP;0.003358472872243621
BAP1_INS;0.0032825634551566425
BAP1_DEL;0.0032662035984020155
ATR_SNP;0.003250452529748311
CUX1_SNP;0.003225141456854971
MAX_SNP;0.0032206967056239884
KDR_SNP;0.0031559881431152148
FLT3_SNP;0.0030710505685339153
PBRM1_SNP;0.003068553725533558
NBN_SNP;0.0028314618903272056
MECOM_SNP;0.0026089803184192756
TCF7L2_SNP;0.0025806622054755277
FLT1_SNP;0.002579652801223018
DNMT3A_SNP;0.002511974764329492
PIK3C2B_SNP;0.0024534501528836942
RHPN2_SNP;0.0024119390224758065
RAF1_SNP;0.0023803663883988184
SPTA1_SNP;0.00236856812861549
AURKA_SNP;0.002261040258335344
BAP1_SNP;0.002247608324490934
CDK12_SNP;0.002138423147936878
SPRED1_SNP;0.002079844650019762
ERBB4_SNP;0.0020347614198577705
RHBDF2_SNP;0.0020193559896477626
RIF1_SNP;0.0020141230938575893
MAP3K1_SNP;0.0020014769804632747
NT5C2_SNP;0.001961616114702427
POLQ_SNP;0.0019444791963365233
NOTCH2_SNP;0.0019163316497741072
PTCH1_SNP;0.0018859937645730764
KMT2B_SNP;0.0017786320088651944
BCL6_SNP;0.0017704270036704624
DOCK8_SNP;0.001749686495856438
BCOR_SNP;0.0017432769523299493
DOT1L_SNP;0.0017251713329714765
EPHA3_SNP;0.001714033305705319
ANKRD11_SNP;0.0016722650084556225
POLD1_SNP;0.0015931361156847985
NOTCH3_SNP;0.0015318838878697213
GLI1_SNP;0.0015230767890911537
IRS1_INS;0.0014853384601775045
ERBB2_SNP;0.0014388610516549024
TRAF7_DEL;0.0014164179680592962
IL7R_SNP;0.0013951598249093164
NRAS_SNP;0.001391014332394657
RB1_INS;0.0013581430837616062
USP28_SNP;0.0013404904440759374
PRPF8_SNP;0.0013383872349640776
PGBD5_SNP;0.0013134110159154083
FAT3_SNP;0.0013114263164508237
MPL_SNP;0.0012704915490409604
CDKN2A_DEL;0.0012514138713690913
KDM5C_SNP;0.001244195998856259
GBA_SNP;0.0012426326214778234
H3F3A_SNP;0.0012360242111542391
FUS_SNP;0.001230948951221159
SMARCA2_SNP;0.0012204064913237261
CBL_SNP;0.0011837232297475103
RUNX1_DEL;0.0011657623237843466
ALOX12B_SNP;0.0011610143252879614
GATA6_SNP;0.0011563463285016295
RUNX1_SNP;0.0011424980361956208
TMPRSS2_SNP;0.00114043998162196
CDKN2A_SNP;0.0011382637984100968
MCL1_SNP;0.0011309888562962757
CREBBP_DEL;0.0011248837075349845
MSH2_DEL;0.0011196898205738152
DOT1L_DEL;0.0011141269350598544
NLRP1_SNP;0.0011080587836121676
U2AF1_SNP;0.001060212235114606
MIR4457_SNP;0.001055617258391437
TP53_ONP;0.0010473127810418925
PDGFRB_SNP;0.0010422992186962356
ABCB11_SNP;0.0010407804245981954
CBFB_DEL;0.001027086454242106
CDKN2C_SNP;0.0010258811569153182
CDKN2A_DNP;0.0010239126871956672
NCOR1_SNP;0.0010216319785291998
FANCG_SNP;0.001008835075965351
MAP3K13_SNP;0.0009902741070072585
HGF_SNP;0.0009899451839437674
NEIL2_SNP;0.0009698209674166541
SMARCAL1_SNP;0.0009606126477110659
CDKN1A_INS;0.000953308474826697
RAC1_SNP;0.0009507990362651978
EPHA3_DNP;0.0009506352606750684
MAFB_SNP;0.0009498732953465181
JAK3_SNP;0.0009368238690049922
KEAP1_INS;0.0009357857248533601
EGFR_SNP;0.0009307352578127992
PRKDC_SNP;0.0009172610634652162
PAX7_SNP;0.0009163149054339633
KMT2D_DNP;0.0009091110881457856
KBTBD4_SNP;0.0008991156512424062
RNF213_SNP;0.0008990715084274249
ELF3_SNP;0.0008937325500087338
MN1_SNP;0.0008922688163769741
SETBP1_SNP;0.0008738281145162286
SLIT2_SNP;0.0008666918338735008
CSF3R_DEL;0.0008623488545402663
CHD2_SNP;0.0008592922567487669
RECQL4_DEL;0.0008517257103801007
NTRK1_SNP;0.0008466553122133208
MCM8_SNP;0.0008374030619826573
TP53_DEL;0.0008357351134340269
SMARCB1_DEL;0.0008282703231397313
TP53BP1_SNP;0.000807281346445777
GSK3B_SNP;0.0008031263927081118
TRAF7_SNP;0.000802053909711787
LRP1B_SNP;0.0008009973810397284
ESR1_SNP;0.000797728052118556
GATA2_SNP;0.0007921236989666591
PMS1_SNP;0.0007886335673195444
IDH1_SNP;0.0007742305499638109
TRAF3_SNP;0.0007714826728469983
FANCI_SNP;0.0007668555606537418
FANCE_SNP;0.0007638443239482577
ERBB2_INS;0.0007410485811540956
FANCA_SNP;0.0007400607201844162
GATA2_DEL;0.0007338218817416371
PIK3CD_SNP;0.000731905027612015
BCL2_SNP;0.0007294847396755711
EPAS1_SNP;0.0007277469002953241
PDGFRA_SNP;0.0007273329242644955
CTNNA1_SNP;0.0007227216718756787
NF1_DEL;0.0007119786003104816
SMARCA4_DEL;0.0007088184268337944
