feature;shap_value;Hugo_Symbol;title;status;description;description_clean;topic
KMT2D_SNP;0.0507082341380911;KMT2D;"LYSINE-SPECIFIC METHYLTRANSFERASE 2D; KMT2D";live;"The SET domain is a motif characteristic of proteins such as human ALL1 (<a href=""http://omim.org/entry/159555"">159555</a>) and Drosophila 'trithorax' (trx) and is found at the C terminus of the 2 proteins. Using the ALL1 SET domain as a probe, Prasad et al. (1997) cloned a novel gene, KMT2D, which they designated ALR (ALL1-related gene). The gene encodes a 5,262-amino acid protein containing a SET domain, 5 PHD fingers, potential zinc fingers, and a long run of glutamines interrupted by hydrophobic residues (mostly leucine). They also detected an alternatively spliced form encoding 4,957 amino acids and lacking an N-terminal zinc finger and PHD finger. Analysis of ALR expression showed that its approximately 18-kb transcript is expressed, like ALL1, in most adult tissues, including a variety of hematopoietic cells, but not in liver. Whole-mount in situ hybridization of early mouse embryos indicated expression of a similar mouse gene in multiple tissues. Based on similarities in structure and expression pattern, Prasad et al. (1997) concluded that ALR is likely to play a role similar to those of ALL1 and trx.";set domain motif characteristic proteins human entry drosophila trithorax trx found c terminus proteins using set domain probe prasad cloned novel gene kmt designated alr related gene gene encodes amino acid protein containing set domain phd fingers potential zinc fingers long run glutamines interrupted hydrophobic residues mostly leucine also detected alternatively spliced form encoding amino acids lacking n terminal zinc finger phd finger analysis alr expression showed approximately kb transcript expressed like adult tissues including variety hematopoietic cells liver whole mount situ hybridization early mouse embryos indicated expression similar mouse gene multiple tissues based similarities structure expression pattern prasad concluded alr likely play role similar trx;-1
KRAS_SNP;0.0467130877253701;KRAS;"KRAS PROTOONCOGENE, GTPase; KRAS";live;"The KRAS gene encodes the human cellular homolog of a transforming gene isolated from the Kirsten rat sarcoma virus. The RAS proteins are GDP/GTP-binding proteins that act as intracellular signal transducers. The most well-studied members of the RAS (derived from 'RAt Sarcoma' virus) gene family include KRAS, HRAS (<a href=""http://omim.org/entry/190020"">190020</a>), and NRAS (<a href=""http://omim.org/entry/164790"">164790</a>). These genes encode immunologically related proteins with a molecular mass of 21 kD and are homologs of rodent sarcoma virus genes that have transforming abilities. While these wildtype cellular proteins in humans play a vital role in normal tissue signaling, including proliferation, differentiation, and senescence, mutated genes are potent oncogenes that play a role in many human cancers (Weinberg, 1982; Kranenburg, 2005).";kras gene encodes human cellular homolog transforming gene isolated kirsten rat sarcoma virus ras proteins gdp gtp binding proteins act intracellular signal transducers well studied members ras derived rat sarcoma virus gene family include kras hras entry nras entry genes encode immunologically related proteins molecular mass kd homologs rodent sarcoma virus genes transforming abilities wildtype cellular proteins humans play vital role normal tissue signaling including proliferation differentiation senescence mutated genes potent oncogenes play role many human cancers weinberg kranenburg;1
ARID1B_SNP;0.0224727521173982;ARID1B;"AT-RICH INTERACTION DOMAIN-CONTAINING PROTEIN 1B; ARID1B";live;"SWI/SNF complexes contain a Swi2/Snf2-related DNA-dependent ATPase (e.g., SMARCA4; <a href=""http://omim.org/entry/603254"">603254</a>) and function in the remodeling of chromatin. ARID1B is present in a small subset of SWI/SNF complexes (Hurlstone et al., 2002; Nie et al., 2003).";swi snf complexes contain swi snf related dna dependent atpase e g smarca entry function remodeling chromatin arid b present small subset swi snf complexes hurlstone nie;0
ARID2_SNP;0.020669183831694;ARID2;"AT-RICH INTERACTION DOMAIN-CONTAINING PROTEIN 2; ARID2";live;"ARID2 is a subunit of the PBAF chromatin-remodeling complex (see BAF180; <a href=""http://omim.org/entry/606083"">606083</a>), which facilitates ligand-dependent transcriptional activation by nuclear receptors (Yan et al., 2005).";arid subunit pbaf chromatin remodeling complex see baf entry facilitates ligand dependent transcriptional activation nuclear receptors yan;0
TP53_SNP;0.018664856239853;TP53;"TUMOR PROTEIN p53; TP53";live;"The transcription factor p53 responds to diverse cellular stresses to regulate target genes that induce cell cycle arrest, apoptosis, senescence, DNA repair, or changes in metabolism. In addition, p53 appears to induce apoptosis through nontranscriptional cytoplasmic processes. In unstressed cells, p53 is kept inactive essentially through the actions of the ubiquitin ligase MDM2 (<a href=""http://omim.org/entry/164785"">164785</a>), which inhibits p53 transcriptional activity and ubiquitinates p53 to promote its degradation. Numerous posttranslational modifications modulate p53 activity, most notably phosphorylation and acetylation. Several less abundant p53 isoforms also modulate p53 activity. Activity of p53 is ubiquitously lost in human cancer either by mutation of the p53 gene itself or by loss of cell signaling upstream or downstream of p53 (Toledo and Wahl, 2006; Bourdon, 2007; Vousden and Lane, 2007).";transcription factor p responds diverse cellular stresses regulate target genes induce cell cycle arrest apoptosis senescence dna repair changes metabolism addition p appears induce apoptosis nontranscriptional cytoplasmic processes unstressed cells p kept inactive essentially actions ubiquitin ligase mdm entry inhibits p transcriptional activity ubiquitinates p promote degradation numerous posttranslational modifications modulate p activity notably phosphorylation acetylation several less abundant p isoforms also modulate p activity activity p ubiquitously lost human cancer either mutation p gene loss cell signaling upstream downstream p toledo wahl bourdon vousden lane;10
TERT_SNP;0.0139051309911739;TERT;"TELOMERASE REVERSE TRANSCRIPTASE; TERT";live;Human telomeres consist of many kilobases of (TTAGGG)n together with various associated proteins. Small amounts of these terminal sequences are lost from the tips of the chromosomes each S phase because of incomplete DNA replication, but de novo addition of TTAGGG repeats by the enzyme telomerase compensates for this loss. Many human cells progressively lose terminal sequence with cell division, a loss that correlates with the apparent absence of telomerase in these cells (Kipling, 1995).;human telomeres consist many kilobases ttaggg n together various associated proteins small amounts terminal sequences lost tips chromosomes phase incomplete dna replication de novo addition ttaggg repeats enzyme telomerase compensates loss many human cells progressively lose terminal sequence cell division loss correlates apparent absence telomerase cells kipling;-1
PIK3CA_SNP;0.0128336839919318;PIK3CA;"PHOSPHATIDYLINOSITOL 3-KINASE, CATALYTIC, ALPHA; PIK3CA";live;"Bovine phosphatidylinositol 3-kinase ({EC 2.7.1.137}) is composed of 85-kD (<a href=""http://omim.org/entry/171833"">171833</a>) and 110-kD subunits. The 85-kD subunit lacks PI3-kinase activity and acts as an adaptor, coupling the 110-kD subunit (p110) to activated protein tyrosine kinases. Hiles et al. (1992) found that the bovine cDNA for p110 predicts a 1,068-amino acid protein related to a protein which in S. cerevisiae is involved in the sorting of proteins to the vacuole.

Volinia et al. (1994) cloned the cDNA for the human p110 subunit (PIK3CA) and found that it encodes a protein 99% identical to the bovine p110 enzyme.

See also PIK3CG (<a href=""http://omim.org/entry/601232"">601232</a>) and PIK3CD (<a href=""http://omim.org/entry/602839"">602839</a>), the genes encoding the p110-gamma and p110-delta polypeptides, respectively.";bovine phosphatidylinositol kinase ec composed kd entry kd subunits kd subunit lacks pi kinase activity acts adaptor coupling kd subunit p activated protein tyrosine kinases hiles found bovine cdna p predicts amino acid protein related protein cerevisiae involved sorting proteins vacuole volinia cloned cdna human p subunit pik ca found encodes protein identical bovine p enzyme see also pik cg entry pik cd entry genes encoding p gamma p delta polypeptides respectively;-1
AXL_SNP;0.0122311967887447;AXL;"AXL RECEPTOR TYROSINE KINASE; AXL";live;"In an effort to determine genes involved in the progression of chronic myelogenous leukemia (CML; <a href=""http://omim.org/entry/608232"">608232</a>) to acute-phase leukemia, Liu et al. (1988) identified a transforming gene in the DNAs of 2 patients with this disorder. O'Bryan et al. (1991) found by molecular cloning and characterization of this gene, which they termed AXL (from the Greek word 'anexelekto,' or uncontrolled), that it is a receptor tyrosine kinase with a structure novel among tyrosine kinases. They showed that the AXL protein is capable of transforming NIH 3T3 cells. Furthermore, its transforming capacity results from overexpression of AXL mRNA rather than from structural mutation.

Janssen et al. (1991) independently found transforming activity by a tumorigenicity assay using NIH 3T3 cells transfected with DNA from a patient with a chronic myeloproliferative disorder. They reported the cDNA cloning of the corresponding oncogene, which they designated UFO, in allusion to the unidentified function of the protein. Nucleotide sequence analysis revealed a 2,682-bp open reading frame capable of directing the synthesis of an 894-amino acid polypeptide. It was evolutionarily conserved among vertebrate species. The predicted protein showed features characteristic of a transmembrane receptor with tyrosine kinase activity. The gene was transcribed into two 5.0-kb and 3.2-kb mRNAs in human bone marrow and human tumor cell lines.";effort determine genes involved progression chronic myelogenous leukemia cml entry acute phase leukemia liu identified transforming gene dnas patients disorder bryan found molecular cloning characterization gene termed axl greek word anexelekto uncontrolled receptor tyrosine kinase structure novel among tyrosine kinases showed axl protein capable transforming nih cells furthermore transforming capacity results overexpression axl mrna rather structural mutation janssen independently found transforming activity tumorigenicity assay using nih cells transfected dna patient chronic myeloproliferative disorder reported cdna cloning corresponding oncogene designated ufo allusion unidentified function protein nucleotide sequence analysis revealed bp open reading frame capable directing synthesis amino acid polypeptide evolutionarily conserved among vertebrate species predicted protein showed features characteristic transmembrane receptor tyrosine kinase activity gene transcribed two kb kb mrnas human bone marrow human tumor cell lines;-1
ZFHX3_SNP;0.0117854875706688;ZFHX3;"ZINC FINGER HOMEOBOX 3; ZFHX3";live;"Tissue-specific expression of the human alpha-fetoprotein (AFP) gene (<a href=""http://omim.org/entry/104150"">104150</a>) is strongly stimulated by an enhancer present 3.3 to 4.9 kb upstream of the transcription initiation site. One of the enhancer elements contains an AT-rich core sequence (AT motif). To determine the nuclear factor in hepatoma cell lines that interacts with the human AFP enhancer AT motif, Morinaga et al. (1991) screened a hepatoma cDNA expression library with an AFP enhancer fragment that bore the AT motif. They succeeded in isolating a cDNA that can code for an AT motif-binding factor, which they termed ATBF1. This was the largest DNA-binding protein identified to that time and the first protein shown to contain multiple homeodomains and multiple zinc finger motifs. The protein had a predicted mass of 306 kD and contained 4 homeodomains and 17 zinc finger motifs.

Dong et al. (2010) stated that full-length human ATBF1 contains 3,703 amino acids and that it has an ATPase A motif, 2 DEAH box-like sequences, 4 homeodomains, and 23 zinc finger motifs.";tissue specific expression human alpha fetoprotein afp gene entry strongly stimulated enhancer present kb upstream transcription initiation site one enhancer elements contains rich core sequence motif determine nuclear factor hepatoma cell lines interacts human afp enhancer motif morinaga screened hepatoma cdna expression library afp enhancer fragment bore motif succeeded isolating cdna code motif binding factor termed atbf largest dna binding protein identified time first protein shown contain multiple homeodomains multiple zinc finger motifs protein predicted mass kd contained homeodomains zinc finger motifs dong stated full length human atbf contains amino acids atpase motif deah box like sequences homeodomains zinc finger motifs;-1
FAT1_SNP;0.011207182494305;FAT1;"FAT ATYPICAL CADHERIN 1; FAT1";live;The FAT1 gene encodes a member of a small family of vertebrate cadherin-like genes whose gene products play a role in cell migration, lamellipodia dynamics, cell polarity, and cell-cell adhesions (summary by Gee et al., 2016).;fat gene encodes member small family vertebrate cadherin like genes whose gene products play role cell migration lamellipodia dynamics cell polarity cell cell adhesions summary gee;-1
